Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,3465.22,3482.05,3451.17,3469.09,,,,
2026-01-29,3458.92,3493.26,3444.93,3481.79,,,,2026-01-30,3497.36,3513.76,3472.66,3505.70,,,,
2026-02-02,3539.97,3571.07,3473.81,3476.02,,,,
2026-02-03,3523.24,3597.74,3522.54,3592.31,,,,
2026-02-04,3580.78,3598.51,3561.18,3595.42,,,,
2026-02-05,3602.78,3619.61,3568.06,3581.69,,,,
2026-02-06,3566.17,3636.44,3543.38,3636.44,,,,
2026-02-09,3693.69,3773.16,3691.15,3719.58,,,,
2026-02-10,3753.08,3803.89,3750.65,3793.06,,,,
2026-02-12,3787.27,3819.44,3782.83,3810.59,,,,
2026-02-13,3793.53,3799.17,3751.24,3751.24,,,,
2026-02-16,3747.80,3753.61,3704.47,3709.38,,,,
2026-02-17,3702.42,3712.88,3659.32,3674.77,,,,
2026-02-18,3701.30,3732.30,3701.30,3720.47,,,,
2026-02-19,3738.45,3772.69,3733.10,3765.03,,,,
2026-02-20,3726.79,3726.79,3705.83,3715.63,,,,
2026-02-24,3707.68,3726.24,3700.44,3716.82,,,,
2026-02-25,3729.63,3766.60,3710.67,3747.06,,,,
2026-02-26,3785.08,3815.84,3784.07,3793.76,,,,
2026-02-27,3786.58,3839.44,3786.58,3839.13,,,,
2026-03-02,3781.71,3795.06,3720.28,3795.06,,,,
2026-03-03,3755.15,3768.98,3663.63,3672.26,,,,
2026-03-04,3623.49,3626.63,3503.28,3541.55,,,,
2026-03-05,3602.13,3685.44,3591.38,3609.52,,,,
2026-03-06,3575.36,3632.64,3565.88,3628.34,,,,
2026-03-09,3563.56,3563.56,3407.42,3491.52,,,,
2026-03-10,3536.67,3608.86,3536.67,3582.31,,,,
2026-03-11,3625.85,3656.88,3609.28,3613.48,,,,
2026-03-12,3575.02,3584.62,3534.54,3574.60,,,,
2026-03-13,3520.99,3567.48,3508.77,3549.17,,,,
2026-03-16,3537.76,3555.50,3504.91,3530.19,,,,
2026-03-17,3567.76,3588.80,3532.46,3548.08,,,,
2026-03-18,3575.96,3636.25,3575.64,3634.91,,,,
2026-03-19,3575.19,3580.64,3533.71,3533.72,,,,
2026-03-23,3475.71,3476.92,3369.88,3413.07,,,,
2026-03-24,3471.35,3500.50,3449.61,3483.54,,,,
2026-03-25,3537.27,3586.82,3537.27,3576.96,,,,
2026-03-26,3585.04,3601.54,3537.19,3568.02,,,,
2026-03-27,3551.14,3587.17,3523.05,3571.32,,,,
2026-03-30,3476.88,3476.88,3397.40,3464.75,,,,
2026-03-31,3437.80,3499.67,3402.19,3417.56,,,,
2026-04-01,3476.53,3594.52,3473.42,3594.52,,,,
2026-04-02,3622.95,3641.80,3525.27,3536.21,,,,
2026-04-03,3567.76,3589.26,3551.12,3564.87,,,,
2026-04-06,3567.12,3602.95,3562.11,3562.91,,,,
2026-04-07,3573.67,3600.54,3554.88,3570.56,,,,
2026-04-08,3632.12,3697.86,3632.03,3689.81,,,,
2026-04-09,3689.04,3697.14,3646.48,3652.84,,,,
2026-04-10,3662.90,3668.61,3647.09,3653.10,,,,
2026-04-13,3631.84,3665.08,3621.99,3636.79,,,,
2026-04-14,3670.11,3682.81,3657.48,3668.41,,,,
2026-04-15,3696.63,3709.95,3687.33,3694.48,,,,
2026-04-16,3713.42,3757.48,3712.96,3743.52,,,,
2026-04-17,3725.50,3725.50,3687.96,3687.96,,,,
2026-04-20,3716.36,3728.12,3708.97,3714.34,,,,
2026-04-21,3707.27,3728.33,3704.26,3708.19,,,,
2026-04-22,3693.89,3693.89,3673.04,3686.60,,,,
2026-04-23,3679.97,3696.68,3629.08,3662.29,,,,
2026-04-24,3673.30,3679.46,3650.82,3662.02,,,,
2026-04-27,3654.82,3705.30,3639.51,3686.58,,,,
2026-04-28,3701.67,3714.85,3685.10,3708.12,,,,
2026-04-30,3680.54,3681.71,3629.81,3658.79,,,,
2026-05-01,3644.18,3681.25,3627.19,3666.85,,,,
2026-05-07,3694.73,3798.18,3694.73,3774.18,,,,
2026-05-08,3763.24,3764.39,3736.34,3756.04,,,,
2026-05-11,3761.16,3790.52,3747.35,3760.73,,,,
2026-05-12,3777.56,3814.04,3765.21,3801.42,,,,
2026-05-13,3805.96,3859.66,3805.96,3855.06,,,,
2026-05-14,3848.42,3852.22,3806.63,3808.00,,,,
2026-05-15,3824.91,3860.36,3764.16,3797.39,,,,
2026-05-18,3800.74,3806.27,3748.40,3763.89,,,,
2026-05-19,3799.73,3817.67,3776.38,3790.74,,,,
2026-05-20,3795.38,3795.38,3703.67,3731.24,,,,
2026-05-21,3763.08,3821.46,3754.07,3797.30,,,,
2026-05-22,3805.66,3848.97,3794.79,3836.39,,,,
2026-05-25,3840.77,3892.95,3828.34,3879.42,,,,
2026-05-27,3889.21,3908.56,3856.56,3857.44,,,,
