Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,6051.62,6054.54,6001.22,6018.08,,,,
2026-01-29,6006.18,6036.92,5958.69,6022.84,,,,2026-01-30,6036.90,6055.23,6001.17,6044.59,,,,
2026-02-02,6074.04,6126.90,6001.79,6002.35,,,,
2026-02-03,6044.62,6138.88,6044.41,6134.31,,,,
2026-02-04,6136.57,6195.43,6126.72,6178.84,,,,
2026-02-05,6216.80,6255.18,6203.56,6226.74,,,,
2026-02-06,6207.99,6253.85,6167.51,6253.85,,,,
2026-02-09,6337.33,6380.31,6317.34,6366.35,,,,
2026-02-10,6394.99,6481.41,6394.99,6474.95,,,,
2026-02-12,6483.51,6590.63,6483.51,6583.01,,,,
2026-02-13,6566.86,6571.30,6421.27,6438.85,,,,
2026-02-16,6455.38,6474.84,6428.34,6470.04,,,,
2026-02-17,6453.26,6503.13,6431.89,6450.31,,,,
2026-02-18,6490.16,6535.98,6490.16,6525.32,,,,
2026-02-19,6535.90,6592.77,6517.76,6588.47,,,,
2026-02-20,6536.17,6559.49,6513.50,6541.14,,,,
2026-02-24,6560.28,6623.10,6517.93,6604.05,,,,
2026-02-25,6620.48,6662.78,6592.32,6639.43,,,,
2026-02-26,6667.53,6684.31,6632.49,6647.90,,,,
2026-02-27,6655.55,6790.97,6645.12,6790.97,,,,
2026-03-02,6688.98,6755.50,6619.66,6739.15,,,,
2026-03-03,6681.21,6722.81,6518.52,6525.86,,,,
2026-03-04,6425.05,6430.37,6155.53,6246.38,,,,
2026-03-05,6355.56,6525.73,6355.56,6444.58,,,,
2026-03-06,6368.94,6450.46,6330.26,6440.62,,,,
2026-03-09,6314.52,6314.52,6056.63,6193.97,,,,
2026-03-10,6269.94,6393.61,6269.94,6347.35,,,,
2026-03-11,6409.64,6469.30,6401.55,6401.55,,,,
2026-03-12,6344.98,6344.98,6234.78,6258.27,,,,
2026-03-13,6191.07,6275.99,6189.16,6240.11,,,,
2026-03-16,6228.96,6276.09,6195.62,6235.46,,,,
2026-03-17,6291.51,6329.29,6225.54,6235.95,,,,
2026-03-18,6291.73,6394.09,6287.83,6394.09,,,,
2026-03-19,6303.73,6303.73,6195.91,6195.91,,,,
2026-03-23,6096.54,6096.54,5938.50,5981.22,,,,
2026-03-24,6085.07,6153.89,6070.55,6123.77,,,,
2026-03-25,6210.54,6295.88,6210.54,6284.33,,,,
2026-03-26,6295.46,6302.89,6192.24,6252.96,,,,
2026-03-27,6229.10,6284.85,6188.25,6271.70,,,,
2026-03-30,6078.74,6086.19,5966.32,6082.57,,,,
2026-03-31,6039.56,6129.64,6000.37,6024.85,,,,
2026-04-01,6124.23,6283.94,6121.35,6283.94,,,,
2026-04-02,6306.86,6366.50,6197.67,6207.79,,,,
2026-04-03,6250.13,6286.86,6243.53,6262.58,,,,
2026-04-06,6275.02,6321.42,6275.02,6287.97,,,,
2026-04-07,6316.43,6363.80,6279.99,6323.55,,,,
2026-04-08,6422.10,6498.49,6422.10,6497.29,,,,
2026-04-09,6498.32,6531.12,6446.23,6446.23,,,,
2026-04-10,6482.27,6523.11,6437.40,6445.16,,,,
2026-04-13,6423.79,6479.68,6392.40,6428.52,,,,
2026-04-14,6484.27,6505.92,6457.29,6472.77,,,,
2026-04-15,6532.00,6560.41,6449.98,6469.15,,,,
2026-04-16,6503.95,6539.85,6503.64,6520.52,,,,
2026-04-17,6502.98,6524.28,6467.33,6474.39,,,,
2026-04-20,6504.44,6504.44,6452.68,6455.45,,,,
2026-04-21,6489.94,6500.33,6435.00,6435.00,,,,
2026-04-22,6427.68,6431.36,6339.83,6352.99,,,,
2026-04-23,6333.54,6343.40,6241.04,6297.09,,,,
2026-04-24,6313.61,6325.97,6257.37,6300.57,,,,
2026-04-27,6287.40,6349.92,6239.96,6310.95,,,,
2026-04-28,6329.11,6420.90,6316.02,6420.90,,,,
2026-04-30,6359.58,6394.02,6325.95,6366.77,,,,
2026-05-01,6357.43,6367.21,6294.49,6351.70,,,,
2026-05-07,6425.61,6547.02,6425.56,6510.41,,,,
2026-05-08,6480.68,6517.77,6431.16,6515.27,,,,
2026-05-11,6538.19,6567.93,6512.85,6532.48,,,,
2026-05-12,6567.40,6605.17,6505.54,6519.53,,,,
2026-05-13,6512.26,6587.96,6503.75,6562.58,,,,
2026-05-14,6567.24,6603.64,6553.45,6565.74,,,,
2026-05-15,6588.84,6646.86,6497.82,6555.34,,,,
2026-05-18,6557.13,6557.13,6460.79,6487.41,,,,
2026-05-19,6540.96,6554.98,6452.79,6492.01,,,,
2026-05-20,6463.52,6467.19,6333.12,6385.80,,,,
2026-05-21,6456.81,6516.07,6451.76,6468.73,,,,
2026-05-22,6505.30,6556.92,6496.46,6534.90,,,,
2026-05-25,6573.64,6624.30,6554.19,6590.65,,,,
2026-05-27,6606.29,6629.97,6533.05,6543.22,,,,
2026-05-28,6515.57,6554.30,6454.05,6547.41,,,,
2026-05-29,6565.49,6653.63,6556.86,6583.14,,,,
