Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,2247.92,2250.06,2231.03,2240.29,,,,
2026-01-29,2212.66,2214.97,2192.39,2212.56,,,,2026-01-30,2225.59,2239.91,2211.93,2237.91,,,,
2026-02-02,2263.90,2283.89,2253.75,2264.03,,,,
2026-02-03,2271.96,2301.40,2268.34,2293.76,,,,
2026-02-04,2295.27,2310.95,2287.59,2302.43,,,,
2026-02-05,2336.20,2365.79,2327.24,2354.93,,,,
2026-02-06,2360.46,2370.77,2341.64,2370.77,,,,
2026-02-09,2386.24,2432.97,2383.56,2409.36,,,,
2026-02-10,2410.57,2442.53,2408.36,2427.75,,,,
2026-02-12,2436.83,2462.81,2434.26,2458.71,,,,
2026-02-13,2470.99,2470.99,2444.13,2464.06,,,,
2026-02-16,2467.36,2467.36,2430.63,2430.63,,,,
2026-02-17,2442.10,2450.53,2431.98,2440.52,,,,
2026-02-18,2456.37,2477.66,2456.27,2459.89,,,,
2026-02-19,2454.40,2472.74,2442.64,2459.34,,,,
2026-02-20,2443.86,2443.86,2421.49,2421.49,,,,
2026-02-24,2427.61,2439.27,2418.70,2431.75,,,,
