Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,2851.11,2857.46,2835.29,2840.86,,,,
2026-01-29,2816.69,2856.74,2782.31,2849.69,,,,2026-01-30,2851.30,2852.68,2812.05,2829.45,,,,
2026-02-02,2868.64,2903.32,2838.14,2842.53,,,,
2026-02-03,2867.68,2938.58,2867.68,2934.23,,,,
2026-02-04,2936.66,2979.69,2927.30,2968.82,,,,
2026-02-05,2992.40,3028.06,2955.15,3021.40,,,,
2026-02-06,3041.51,3110.37,3032.66,3103.51,,,,
2026-02-09,3154.55,3238.84,3150.82,3222.11,,,,
2026-02-10,3215.71,3270.78,3210.15,3270.78,,,,
2026-02-12,3276.93,3329.21,3275.21,3302.28,,,,
2026-02-13,3280.19,3283.57,3169.45,3173.17,,,,
2026-02-16,3174.65,3177.92,3102.59,3115.11,,,,
2026-02-17,3111.38,3153.96,3111.38,3133.56,,,,
2026-02-18,3152.29,3204.80,3146.48,3189.53,,,,
2026-02-19,3182.58,3217.15,3163.12,3213.52,,,,
2026-02-20,3194.72,3216.84,3176.13,3212.90,,,,
2026-02-24,3223.61,3237.55,3173.91,3228.79,,,,
2026-02-25,3232.00,3244.25,3193.51,3227.48,,,,
2026-02-26,3233.00,3268.01,3217.60,3234.34,,,,
2026-02-27,3246.02,3340.03,3246.02,3337.03,,,,
2026-03-02,3272.53,3315.08,3212.37,3308.25,,,,
2026-03-03,3273.89,3295.09,3195.57,3205.13,,,,
2026-03-04,3163.61,3163.61,3027.86,3084.16,,,,
2026-03-05,3140.13,3202.40,3076.39,3103.10,,,,
2026-03-06,3055.25,3071.11,3016.98,3067.75,,,,
2026-03-09,3008.13,3008.17,2865.37,2931.70,,,,
