Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,7270.31,7423.80,7252.40,7346.77,,,,
2026-01-29,7273.53,7324.93,7193.76,7298.75,,,,2026-01-30,7357.58,7411.41,7264.07,7264.35,,,,
2026-02-02,7279.68,7313.81,7184.66,7184.66,,,,
2026-02-03,7219.34,7323.35,7219.34,7300.74,,,,
2026-02-04,7231.87,7231.87,7092.87,7102.83,,,,
2026-02-05,7115.03,7115.03,7009.72,7020.32,,,,
2026-02-06,6993.11,7007.93,6903.85,6999.97,,,,
2026-02-09,7050.36,7156.58,7050.36,7064.99,,,,
2026-02-10,7127.27,7396.03,7120.88,7351.59,,,,
2026-02-12,7372.19,7436.85,7338.62,7366.20,,,,
2026-02-13,7395.55,7412.69,7075.95,7080.22,,,,
2026-02-16,7115.37,7233.48,7107.57,7223.23,,,,
2026-02-17,7209.86,7217.06,7049.13,7079.89,,,,
2026-02-18,7098.77,7100.16,7027.65,7041.54,,,,
2026-02-19,7065.69,7139.30,7011.51,7086.09,,,,
2026-02-20,7014.06,7014.06,6942.38,6970.26,,,,
2026-02-24,6917.84,6921.59,6789.01,6790.43,,,,
2026-02-25,6853.31,6902.88,6830.00,6830.00,,,,
2026-02-26,6906.66,7043.02,6900.47,7007.70,,,,
2026-02-27,7021.74,7051.33,6982.00,7051.33,,,,
2026-03-02,6985.45,7019.01,6933.13,6974.74,,,,
2026-03-03,6939.95,6957.66,6870.73,6890.44,,,,
2026-03-04,6848.92,6848.92,6676.28,6744.79,,,,
2026-03-05,6838.31,6949.38,6797.79,6810.62,,,,
2026-03-06,6774.55,6933.56,6774.55,6915.97,,,,
2026-03-09,6808.44,6808.44,6648.53,6771.27,,,,
2026-03-10,6820.02,6879.16,6783.81,6849.25,,,,
2026-03-11,6884.14,7024.15,6874.64,6951.45,,,,
2026-03-12,6872.66,6877.68,6781.99,6834.77,,,,
2026-03-13,6783.21,6823.30,6738.86,6771.86,,,,
2026-03-16,6763.26,6848.40,6763.26,6800.50,,,,
2026-03-17,6825.91,6831.85,6772.38,6783.74,,,,
2026-03-18,6826.23,6920.31,6823.72,6905.97,,,,
2026-03-19,6817.30,6847.41,6758.66,6765.46,,,,
2026-03-23,6693.60,6731.41,6629.90,6701.28,,,,
2026-03-24,6778.79,6791.27,6697.66,6746.75,,,,
2026-03-25,6787.56,6915.77,6787.34,6895.99,,,,
2026-03-26,6907.59,7003.98,6839.18,6887.35,,,,
2026-03-27,6911.28,7025.69,6892.69,6983.76,,,,
2026-03-30,6811.09,6811.09,6651.98,6764.56,,,,
2026-03-31,6768.88,6860.02,6708.38,6735.79,,,,
2026-04-01,6788.55,6868.68,6782.58,6867.87,,,,
2026-04-02,6890.72,6996.17,6751.59,6792.13,,,,
2026-04-03,6819.38,6855.97,6804.09,6843.31,,,,
2026-04-06,6862.37,6911.03,6849.90,6862.19,,,,
2026-04-07,6885.99,6921.49,6789.01,6806.55,,,,
2026-04-08,6904.71,6973.42,6904.71,6958.00,,,,
2026-04-09,6954.25,6959.14,6857.60,6895.77,,,,
2026-04-10,6865.05,6865.05,6761.17,6780.83,,,,
2026-04-13,6741.84,6820.81,6731.22,6820.81,,,,
2026-04-14,6876.49,7081.30,6875.14,7056.51,,,,
2026-04-15,7113.33,7267.53,7110.29,7239.28,,,,
2026-04-16,7300.02,7422.39,7286.70,7351.33,,,,
2026-04-17,7371.51,7383.48,7289.52,7307.55,,,,
2026-04-20,7340.58,7429.57,7320.08,7420.35,,,,
2026-04-21,7447.05,7579.73,7444.21,7563.49,,,,
2026-04-22,7573.88,7785.51,7564.67,7737.71,,,,
2026-04-23,7752.48,7892.78,7681.69,7768.63,,,,
2026-04-24,7783.62,7815.23,7696.12,7797.01,,,,
2026-04-27,7758.68,7836.62,7644.52,7662.83,,,,
2026-04-28,7654.65,7660.30,7437.85,7468.08,,,,
2026-04-30,7387.88,7457.87,7276.41,7406.08,,,,
2026-05-01,7385.21,7481.43,7367.32,7474.10,,,,
2026-05-07,7519.11,7934.21,7511.20,7913.81,,,,
2026-05-08,7914.89,7920.20,7761.71,7819.33,,,,
2026-05-11,7856.33,7897.45,7631.91,7655.03,,,,
2026-05-12,7675.89,7740.98,7649.41,7708.39,,,,
