Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-11,1.892,1.892,1.892,1.892,,,,
2026-06-12,1.893,1.893,1.893,1.893,,,,
2026-06-15,1.866,1.866,1.866,1.866,,,,
2026-06-16,1.900,1.900,1.900,1.900,,,,
2026-06-17,1.865,1.865,1.865,1.865,,,,
2026-06-18,1.863,1.863,1.863,1.863,,,,
2026-06-19,1.896,1.896,1.896,1.896,,,,
2026-06-22,1.915,1.915,1.915,1.915,,,,
2026-06-23,1.894,1.894,1.894,1.894,,,,
2026-06-24,1.919,1.919,1.919,1.919,,,,
2026-06-25,1.891,1.891,1.891,1.891,,,,
2026-06-26,1.875,1.875,1.875,1.875,,,,
2026-06-29,1.877,1.877,1.877,1.877,,,,
2026-06-30,1.892,1.892,1.892,1.892,,,,
2026-07-01,1.918,1.918,1.918,1.918,,,,
2026-07-02,1.939,1.939,1.939,1.939,,,,
2026-07-03,1.935,1.935,1.935,1.935,,,,
2026-07-06,1.945,1.945,1.945,1.945,,,,
2026-07-07,1.959,1.959,1.959,1.959,,,,
2026-07-08,1.998,1.998,1.998,1.998,,,,
2026-07-09,1.996,1.996,1.996,1.996,,,,
2026-07-10,1.954,1.954,1.954,1.954,,,,
2026-07-13,1.996,1.996,1.996,1.996,,,,
2026-07-14,1.949,1.949,1.949,1.949,,,,
2026-07-15,1.939,1.939,1.939,1.939,,,,
2026-07-16,1.962,1.962,1.962,1.962,,,,
2026-07-17,1.922,1.922,1.922,1.922,,,,
2026-07-20,1.922,1.922,1.922,1.922,,,,
2026-07-21,1.948,1.948,1.948,1.948,,,,
2026-07-22,1.990,1.990,1.990,1.990,,,,
2026-07-23,2.012,2.012,2.012,2.012,,,,
2026-07-24,2.037,2.037,2.037,2.037,,,,
2026-07-27,2.023,2.023,2.023,2.023,,,,
2026-07-28,2.006,2.006,2.006,2.006,,,,
2026-07-29,1.992,1.992,1.992,1.992,,,,
2026-07-30,2.027,2.027,2.027,2.027,,,,
2026-07-31,2.032,2.032,2.032,2.032,,,,
2026-08-03,2.087,2.087,2.087,2.087,,,,
2026-08-04,2.090,2.090,2.090,2.090,,,,
2026-08-05,2.063,2.063,2.063,2.063,,,,
2026-08-06,2.041,2.041,2.041,2.041,,,,
2026-08-07,2.074,2.074,2.074,2.074,,,,
2026-08-10,2.098,2.098,2.098,2.098,,,,
2026-08-11,2.098,2.098,2.098,2.098,,,,
2026-08-12,2.112,2.112,2.112,2.112,,,,
2026-08-13,2.125,2.125,2.125,2.125,,,,
2026-08-14,2.146,2.146,2.146,2.146,,,,
2026-08-17,2.171,2.171,2.171,2.171,,,,
2026-08-18,2.163,2.163,2.163,2.163,,,,
2026-08-19,2.131,2.131,2.131,2.131,,,,
2026-08-20,2.116,2.116,2.116,2.116,,,,
2026-08-21,2.130,2.130,2.130,2.130,,,,
2026-08-24,2.129,2.129,2.129,2.129,,,,
2026-08-25,2.146,2.146,2.146,2.146,,,,
2026-08-26,2.166,2.166,2.166,2.166,,,,
2026-08-27,2.193,2.193,2.193,2.193,,,,
2026-08-28,2.183,2.183,2.183,2.183,,,,
2026-08-31,2.214,2.214,2.214,2.214,,,,
2026-09-01,2.274,2.274,2.274,2.274,,,,
2026-09-02,2.317,2.317,2.317,2.317,,,,
2026-09-03,2.272,2.272,2.272,2.272,,,,
2026-09-04,2.240,2.240,2.240,2.240,,,,
