Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,1.88,1.88,1.88,1.88,,,,
2026-06-15,1.95,1.95,1.95,1.95,,,,
2026-06-16,1.94,1.94,1.94,1.94,,,,
2026-06-17,1.96,1.96,1.96,1.96,,,,
2026-06-18,1.98,1.98,1.98,1.98,,,,
2026-06-19,1.98,1.98,1.98,1.98,,,,
2026-06-22,2,2,2,2,,,,
2026-06-23,1.94,1.94,1.94,1.94,,,,
2026-06-24,1.92,1.92,1.92,1.92,,,,
2026-06-25,1.96,1.96,1.96,1.96,,,,
2026-06-26,1.92,1.92,1.92,1.92,,,,
2026-06-29,1.91,1.91,1.91,1.91,,,,
2026-06-30,1.92,1.92,1.92,1.92,,,,
2026-07-01,1.92,1.92,1.92,1.92,,,,
2026-07-02,1.91,1.91,1.91,1.91,,,,
2026-07-03,1.94,1.94,1.94,1.94,,,,
2026-07-06,1.96,1.96,1.96,1.96,,,,
2026-07-07,1.93,1.93,1.93,1.93,,,,
2026-07-08,1.9,1.9,1.9,1.9,,,,
2026-07-09,1.91,1.91,1.91,1.91,,,,
2026-07-10,1.92,1.92,1.92,1.92,,,,
2026-07-13,1.9,1.9,1.9,1.9,,,,
2026-07-14,1.91,1.91,1.91,1.91,,,,
2026-07-15,1.94,1.94,1.94,1.94,,,,
2026-07-16,1.9,1.9,1.9,1.9,,,,
2026-07-17,1.84,1.84,1.84,1.84,,,,
2026-07-21,1.89,1.89,1.89,1.89,,,,
2026-07-22,1.9,1.9,1.9,1.9,,,,
2026-07-23,1.91,1.91,1.91,1.91,,,,
2026-07-24,1.88,1.88,1.88,1.88,,,,
2026-07-27,1.9,1.9,1.9,1.9,,,,
2026-07-28,1.85,1.85,1.85,1.85,,,,
2026-07-29,1.85,1.85,1.85,1.85,,,,
2026-07-30,1.84,1.84,1.84,1.84,,,,
2026-07-31,1.87,1.87,1.87,1.87,,,,
2026-08-03,1.84,1.84,1.84,1.84,,,,
2026-08-04,1.84,1.84,1.84,1.84,,,,
2026-08-05,1.88,1.88,1.88,1.88,,,,
2026-08-06,1.88,1.88,1.88,1.88,,,,
2026-08-07,1.88,1.88,1.88,1.88,,,,
2026-08-10,1.89,1.89,1.89,1.89,,,,
