Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,16758.05,17130.69,16689.82,17045.05,,,,
2026-01-29,17113.11,17418.38,16792.48,16929.70,,,,
2026-01-30,16852.58,17152.76,16755.69,17010.74,,,,
2026-02-02,17002.35,17042.55,16022.68,16022.68,,,,
2026-02-03,16041.49,17068.95,16032.59,17035.58,,,,
2026-02-04,17017.55,17017.55,16706.28,16950.15,,,,
2026-02-05,16888.01,16908.38,16289.17,16483.01,,,,
2026-02-06,16496.77,16805.22,16134.05,16656.52,,,,
2026-02-09,16687.53,17726.99,16637.57,17357.88,,,,
2026-02-10,17431.58,17622.62,17431.58,17530.71,,,,
2026-02-12,17628.87,17905.85,17617.05,17905.85,,,,
2026-02-13,17833.54,18314.63,17821.55,18073.09,,,,
2026-02-16,18143.00,18171.73,17900.18,17900.18,,,,
2026-02-17,17950.82,18023.56,17681.96,17907.67,,,,
2026-02-18,17924.48,18055.23,17841.62,17911.25,,,,
2026-02-19,18019.76,18489.50,18019.76,18101.93,,,,
2026-02-20,17984.04,17985.02,17687.41,17851.53,,,,
2026-02-24,17854.38,18480.95,17836.33,18403.71,,,,
2026-02-25,18493.31,18993.12,18491.04,18930.25,,,,
2026-02-26,19099.59,19113.40,18442.40,18840.35,,,,
2026-02-27,18763.09,18794.40,18263.59,18613.24,,,,
2026-03-02,18544.48,18563.17,18122.69,18513.23,,,,
2026-03-03,18531.49,18730.58,17866.57,17944.20,,,,
2026-03-04,17904.51,17918.15,16691.64,17087.53,,,,
2026-03-05,17090.18,18146.55,17090.18,17642.26,,,,
2026-03-06,17538.31,17778.59,17109.57,17778.59,,,,
2026-03-09,17778.59,17778.59,15738.17,16335.63,,,,
2026-03-10,16362.26,17341.09,16352.81,17153.09,,,,
2026-03-11,17205.06,18056.29,17204.47,17780.25,,,,
2026-03-12,17594.67,17755.75,17356.91,17548.70,,,,
2026-03-13,17539.34,17541.28,17016.55,17259.71,,,,
2026-03-16,17272.61,17583.06,17108.20,17583.06,,,,
2026-03-17,17637.49,17886.02,17148.14,17200.96,,,,
2026-03-18,17292.31,17975.48,17289.05,17975.48,,,,
2026-03-19,17853.71,17888.78,17261.72,17386.24,,,,
2026-03-23,17376.30,17376.30,16205.27,16520.78,,,,
2026-03-24,16561.00,17118.90,16332.64,16675.92,,,,
2026-03-25,16773.73,17441.07,16772.08,17370.07,,,,
2026-03-26,17358.22,17381.96,17002.50,17120.70,,,,
2026-03-27,17064.25,17082.11,16362.78,16695.87,,,,
2026-03-30,16688.04,16689.57,15830.06,16294.79,,,,
2026-03-31,16271.91,16278.86,15486.64,15724.80,,,,
2026-04-01,15726.26,16932.96,15726.26,16932.96,,,,
2026-04-02,17039.50,17214.43,16356.31,16456.39,,,,
2026-04-03,16519.34,16939.41,16519.34,16789.55,,,,
2026-04-06,16876.54,17240.76,16876.54,17039.32,,,,
2026-04-07,17129.29,17162.38,16926.18,17051.35,,,,
2026-04-08,17051.35,18820.70,17051.35,18808.36,,,,
2026-04-09,18801.56,18801.56,18481.37,18741.66,,,,
2026-04-10,18800.78,19591.69,18800.78,19524.40,,,,
2026-04-13,19338.65,19561.57,19209.12,19526.93,,,,
2026-04-14,19551.77,20947.59,19545.62,20758.30,,,,
2026-04-15,20849.65,21089.67,20210.44,20311.05,,,,
2026-04-16,20504.47,20991.91,20233.94,20954.14,,,,
2026-04-17,20844.67,20844.67,20124.06,20124.06,,,,
2026-04-20,20248.41,20514.69,20138.60,20192.28,,,,
2026-04-21,20288.66,20798.95,20288.66,20757.09,,,,
2026-04-22,20815.09,21071.51,20661.79,21038.27,,,,
2026-04-23,21103.82,21461.49,20649.73,21006.97,,,,
2026-04-24,21088.38,21227.72,20939.71,21093.80,,,,
2026-04-27,21190.22,21902.09,21190.22,21697.90,,,,
