Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,2.82,2.82,2.82,2.82,,,,
2026-06-15,2.96,2.96,2.96,2.96,,,,
2026-06-16,2.96,2.96,2.96,2.96,,,,
2026-06-17,2.98,2.98,2.98,2.98,,,,
2026-06-18,3.03,3.03,3.03,3.03,,,,
2026-06-19,3.04,3.04,3.04,3.04,,,,
2026-06-22,3.09,3.09,3.09,3.09,,,,
2026-06-23,2.98,2.98,2.98,2.98,,,,
2026-06-24,2.95,2.95,2.95,2.95,,,,
2026-06-25,3.08,3.08,3.08,3.08,,,,
2026-06-26,2.95,2.95,2.95,2.95,,,,
2026-06-29,2.95,2.95,2.95,2.95,,,,
2026-06-30,2.97,2.97,2.97,2.97,,,,
2026-07-01,2.99,2.99,2.99,2.99,,,,
2026-07-02,2.91,2.91,2.91,2.91,,,,
2026-07-03,2.95,2.95,2.95,2.95,,,,
2026-07-06,2.95,2.95,2.95,2.95,,,,
2026-07-07,2.89,2.89,2.89,2.89,,,,
2026-07-08,2.83,2.83,2.83,2.83,,,,
2026-07-09,2.87,2.87,2.87,2.87,,,,
2026-07-10,2.90,2.90,2.90,2.90,,,,
2026-07-13,2.84,2.84,2.84,2.84,,,,
