Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,17.69,17.69,17.69,17.69,,,,
2026-06-15,18.33,18.33,18.33,18.33,,,,
2026-06-16,18.32,18.32,18.32,18.32,,,,
2026-06-17,18.42,18.42,18.42,18.42,,,,
2026-06-18,18.68,18.68,18.68,18.68,,,,
2026-06-19,18.64,18.64,18.64,18.64,,,,
2026-06-22,18.85,18.85,18.85,18.85,,,,
2026-06-23,18.23,18.23,18.23,18.23,,,,
2026-06-24,18.10,18.10,18.10,18.10,,,,
2026-06-25,18.45,18.45,18.45,18.45,,,,
2026-06-26,18.06,18.06,18.06,18.06,,,,
2026-06-29,18.10,18.10,18.10,18.10,,,,
2026-06-30,18.18,18.18,18.18,18.18,,,,
2026-07-01,18.28,18.28,18.28,18.28,,,,
2026-07-02,18.18,18.18,18.18,18.18,,,,
2026-07-03,18.43,18.43,18.43,18.43,,,,
2026-07-06,18.58,18.58,18.58,18.58,,,,
2026-07-07,18.33,18.33,18.33,18.33,,,,
2026-07-08,18.05,18.05,18.05,18.05,,,,
2026-07-09,18.11,18.11,18.11,18.11,,,,
2026-07-10,18.18,18.18,18.18,18.18,,,,
2026-07-13,17.96,17.96,17.96,17.96,,,,
2026-07-14,18.11,18.11,18.11,18.11,,,,
2026-07-15,18.34,18.34,18.34,18.34,,,,
2026-07-16,17.99,17.99,17.99,17.99,,,,
2026-07-17,17.42,17.42,17.42,17.42,,,,
2026-07-21,17.93,17.93,17.93,17.93,,,,
2026-07-22,18.02,18.02,18.02,18.02,,,,
2026-07-23,18.09,18.09,18.09,18.09,,,,
2026-07-24,17.82,17.82,17.82,17.82,,,,
2026-07-27,17.99,17.99,17.99,17.99,,,,
2026-07-28,17.48,17.48,17.48,17.48,,,,
2026-07-29,17.47,17.47,17.47,17.47,,,,
2026-07-30,17.31,17.31,17.31,17.31,,,,
2026-07-31,17.50,17.50,17.50,17.50,,,,
2026-08-03,17.18,17.18,17.18,17.18,,,,
2026-08-04,17.16,17.16,17.16,17.16,,,,
2026-08-05,17.39,17.39,17.39,17.39,,,,
2026-08-06,17.30,17.30,17.30,17.30,,,,
2026-08-07,17.32,17.32,17.32,17.32,,,,
2026-08-10,17.32,17.32,17.32,17.32,,,,
2026-08-12,17.48,17.48,17.48,17.48,,,,
2026-08-13,17.55,17.55,17.55,17.55,,,,
2026-08-14,17.65,17.65,17.65,17.65,,,,
2026-08-17,17.66,17.66,17.66,17.66,,,,
2026-08-18,17.43,17.43,17.43,17.43,,,,
2026-08-19,16.84,16.84,16.84,16.84,,,,
2026-08-20,17.07,17.07,17.07,17.07,,,,
2026-08-21,17.11,17.11,17.11,17.11,,,,
2026-08-24,17.09,17.09,17.09,17.09,,,,
2026-08-25,17.18,17.18,17.18,17.18,,,,
2026-08-26,17.24,17.24,17.24,17.24,,,,
2026-08-27,17.27,17.27,17.27,17.27,,,,
