Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,25811.00,25811.00,25811.00,25811.00,,,,
2026-06-15,26262.41,26262.41,26262.41,26262.41,,,,
2026-06-16,26341.75,26341.75,26341.75,26341.75,,,,
2026-06-17,26330.49,26330.49,26330.49,26330.49,,,,
2026-06-18,26343.40,26343.40,26343.40,26343.40,,,,
2026-06-19,26286.20,26286.20,26286.20,26286.20,,,,
2026-06-22,26240.29,26240.29,26240.29,26240.29,,,,
2026-06-23,26306.16,26306.16,26306.16,26306.16,,,,
2026-06-24,26176.66,26176.66,26176.66,26176.66,,,,
2026-06-25,26369.37,26369.37,26369.37,26369.37,,,,
2026-06-26,26179.10,26179.10,26179.10,26179.10,,,,
2026-06-29,26258.53,26258.53,26258.53,26258.53,,,,
2026-06-30,26423.49,26423.49,26423.49,26423.49,,,,
2026-07-01,26457.64,26457.64,26457.64,26457.64,,,,
2026-07-02,26376.32,26376.32,26376.32,26376.32,,,,
2026-07-03,26438.68,26438.68,26438.68,26438.68,,,,
2026-07-06,26458.77,26458.77,26458.77,26458.77,,,,
2026-07-07,26491.52,26491.52,26491.52,26491.52,,,,
2026-07-08,26531.64,26531.64,26531.64,26531.64,,,,
2026-07-09,26574.94,26574.94,26574.94,26574.94,,,,
2026-07-10,26312.97,26312.97,26312.97,26312.97,,,,
2026-07-13,26146.08,26146.08,26146.08,26146.08,,,,
2026-07-14,26283.12,26283.12,26283.12,26283.12,,,,
2026-07-15,26499.47,26499.47,26499.47,26499.47,,,,
2026-07-16,26151.23,26151.23,26151.23,26151.23,,,,
2026-07-17,25421.58,25421.58,25421.58,25421.58,,,,
2026-07-21,26015.16,26015.16,26015.16,26015.16,,,,
2026-07-22,25962.24,25962.24,25962.24,25962.24,,,,
2026-07-23,26111.84,26111.84,26111.84,26111.84,,,,
2026-07-24,25628.69,25628.69,25628.69,25628.69,,,,
2026-07-27,25761.41,25761.41,25761.41,25761.41,,,,
