Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,45517.57,45517.57,45517.57,45517.57,,,,
2026-06-15,46784.58,46784.58,46784.58,46784.58,,,,
2026-06-16,46991.56,46991.56,46991.56,46991.56,,,,
2026-06-17,47050.22,47050.22,47050.22,47050.22,,,,
2026-06-18,47175.14,47175.14,47175.14,47175.14,,,,
2026-06-19,47094.74,47094.74,47094.74,47094.74,,,,
2026-06-22,47111.68,47111.68,47111.68,47111.68,,,,
2026-06-23,46962.41,46962.41,46962.41,46962.41,,,,
2026-06-24,46708.36,46708.36,46708.36,46708.36,,,,
2026-06-25,47269.31,47269.31,47269.31,47269.31,,,,
2026-06-26,46694.83,46694.83,46694.83,46694.83,,,,
2026-06-29,46916.15,46916.15,46916.15,46916.15,,,,
