Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,154,154,154,154,,,,
2026-06-15,172,172,172,172,,,,
2026-06-16,78,78,78,78,,,,
2026-06-17,137,137,137,137,,,,
2026-06-18,136,136,136,136,,,,
2026-06-19,66,66,66,66,,,,
2026-06-22,137,137,137,137,,,,
2026-06-23,41,41,41,41,,,,
2026-06-24,91,91,91,91,,,,
2026-06-25,149,149,149,149,,,,
2026-06-26,114,114,114,114,,,,
2026-06-29,149,149,149,149,,,,
2026-06-30,104,104,104,104,,,,
2026-07-01,96,96,96,96,,,,
2026-07-02,170,170,170,170,,,,
