Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,71,71,71,71,,,,
2026-06-15,51,51,51,51,,,,
2026-06-16,144,144,144,144,,,,
2026-06-17,85,85,85,85,,,,
2026-06-18,84,84,84,84,,,,
2026-06-19,157,157,157,157,,,,
2026-06-22,85,85,85,85,,,,
2026-06-23,184,184,184,184,,,,
2026-06-24,131,131,131,131,,,,
2026-06-25,76,76,76,76,,,,
2026-06-26,109,109,109,109,,,,
2026-06-29,75,75,75,75,,,,
2026-06-30,121,121,121,121,,,,
2026-07-01,127,127,127,127,,,,
2026-07-02,53,53,53,53,,,,
2026-07-03,36,36,36,36,,,,
2026-07-06,48,48,48,48,,,,
2026-07-07,129,129,129,129,,,,
2026-07-08,172,172,172,172,,,,
2026-07-09,146,146,146,146,,,,
2026-07-10,130,130,130,130,,,,
2026-07-13,134,134,134,134,,,,
2026-07-14,47,47,47,47,,,,
2026-07-15,68,68,68,68,,,,
2026-07-16,139,139,139,139,,,,
2026-07-17,152,152,152,152,,,,
2026-07-21,37,37,37,37,,,,
2026-07-22,102,102,102,102,,,,
2026-07-23,102,102,102,102,,,,
2026-07-24,133,133,133,133,,,,
2026-07-27,31,31,31,31,,,,
2026-07-28,141,141,141,141,,,,
2026-07-29,80,80,80,80,,,,
2026-07-30,165,165,165,165,,,,
2026-07-31,129,129,129,129,,,,
2026-08-03,169,169,169,169,,,,
2026-08-04,129,129,129,129,,,,
2026-08-05,71,71,71,71,,,,
2026-08-06,56,56,56,56,,,,
2026-08-07,75,75,75,75,,,,
2026-08-10,102,102,102,102,,,,
2026-08-12,88,88,88,88,,,,
2026-08-13,90,90,90,90,,,,
2026-08-14,92,92,92,92,,,,
2026-08-17,146,146,146,146,,,,
2026-08-18,142,142,142,142,,,,
2026-08-19,179,179,179,179,,,,
2026-08-20,42,42,42,42,,,,
2026-08-21,86,86,86,86,,,,
2026-08-24,97,97,97,97,,,,
2026-08-25,82,82,82,82,,,,
2026-08-26,96,96,96,96,,,,
2026-08-27,116,116,116,116,,,,
2026-08-28,74,74,74,74,,,,
