Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,35918.29,35918.29,35918.29,35918.29,,,,
2026-06-15,36329.12,36329.12,36329.12,36329.12,,,,
2026-06-16,35986.41,35986.41,35986.41,35986.41,,,,
2026-06-17,35901.56,35901.56,35901.56,35901.56,,,,
2026-06-18,36190.23,36190.23,36190.23,36190.23,,,,
2026-06-19,35837.48,35837.48,35837.48,35837.48,,,,
2026-06-22,36002.04,36002.04,36002.04,36002.04,,,,
2026-06-23,35634.22,35634.22,35634.22,35634.22,,,,
2026-06-24,35527.76,35527.76,35527.76,35527.76,,,,
2026-06-25,35803.74,35803.74,35803.74,35803.74,,,,
2026-06-26,36016.67,36016.67,36016.67,36016.67,,,,
2026-06-29,36537.70,36537.70,36537.70,36537.70,,,,
2026-06-30,36516.98,36516.98,36516.98,36516.98,,,,
2026-07-01,36132.45,36132.45,36132.45,36132.45,,,,
2026-07-02,36778.67,36778.67,36778.67,36778.67,,,,
2026-07-03,37261.69,37261.69,37261.69,37261.69,,,,
2026-07-06,37795.02,37795.02,37795.02,37795.02,,,,
2026-07-07,38048.48,38048.48,38048.48,38048.48,,,,
2026-07-08,37953.18,37953.18,37953.18,37953.18,,,,
2026-07-09,37672.20,37672.20,37672.20,37672.20,,,,
2026-07-10,37418.72,37418.72,37418.72,37418.72,,,,
2026-07-13,37432.05,37432.05,37432.05,37432.05,,,,
2026-07-14,37862.93,37862.93,37862.93,37862.93,,,,
2026-07-15,38144.94,38144.94,38144.94,38144.94,,,,
2026-07-16,38022.09,38022.09,38022.09,38022.09,,,,
2026-07-17,37401.61,37401.61,37401.61,37401.61,,,,
2026-07-21,38020.12,38020.12,38020.12,38020.12,,,,
2026-07-22,37860.49,37860.49,37860.49,37860.49,,,,
2026-07-23,37705.65,37705.65,37705.65,37705.65,,,,
2026-07-24,37858.61,37858.61,37858.61,37858.61,,,,
2026-07-27,38715.85,38715.85,38715.85,38715.85,,,,
2026-07-28,38433.03,38433.03,38433.03,38433.03,,,,
2026-07-29,38971.75,38971.75,38971.75,38971.75,,,,
2026-07-30,38149.62,38149.62,38149.62,38149.62,,,,
2026-07-31,37642.44,37642.44,37642.44,37642.44,,,,
2026-08-03,37170.53,37170.53,37170.53,37170.53,,,,
2026-08-04,36837.69,36837.69,36837.69,36837.69,,,,
2026-08-05,36999.66,36999.66,36999.66,36999.66,,,,
2026-08-06,37522.71,37522.71,37522.71,37522.71,,,,
2026-08-07,37748.13,37748.13,37748.13,37748.13,,,,
2026-08-10,37277.77,37277.77,37277.77,37277.77,,,,
2026-08-12,37571.42,37571.42,37571.42,37571.42,,,,
2026-08-13,37885.99,37885.99,37885.99,37885.99,,,,
2026-08-14,37889.02,37889.02,37889.02,37889.02,,,,
2026-08-17,37693.01,37693.01,37693.01,37693.01,,,,
2026-08-18,37654.18,37654.18,37654.18,37654.18,,,,
2026-08-19,37099.03,37099.03,37099.03,37099.03,,,,
2026-08-20,37702.01,37702.01,37702.01,37702.01,,,,
2026-08-21,38017.00,38017.00,38017.00,38017.00,,,,
2026-08-24,38086.65,38086.65,38086.65,38086.65,,,,
2026-08-25,38422.22,38422.22,38422.22,38422.22,,,,
2026-08-26,38640.18,38640.18,38640.18,38640.18,,,,
2026-08-27,38555.04,38555.04,38555.04,38555.04,,,,
2026-08-28,38672.86,38672.86,38672.86,38672.86,,,,
2026-08-31,38803.78,38803.78,38803.78,38803.78,,,,
2026-09-01,39267.49,39267.49,39267.49,39267.49,,,,
2026-09-02,38529.40,38529.40,38529.40,38529.40,,,,
2026-09-03,38777.88,38777.88,38777.88,38777.88,,,,
