Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,10.96,10.96,10.96,10.96,,,,
2026-06-15,9.83,9.83,9.83,9.83,,,,
2026-06-16,10.19,10.19,10.19,10.19,,,,
2026-06-17,8.79,8.79,8.79,8.79,,,,
2026-06-18,10.12,10.12,10.12,10.12,,,,
2026-06-19,11.72,11.72,11.72,11.72,,,,
2026-06-22,8.07,8.07,8.07,8.07,,,,
2026-06-23,11.83,11.83,11.83,11.83,,,,
2026-06-24,10.81,10.81,10.81,10.81,,,,
2026-06-25,9.15,9.15,9.15,9.15,,,,
2026-06-26,10.40,10.40,10.40,10.40,,,,
2026-06-29,10.05,10.05,10.05,10.05,,,,
2026-06-30,9.21,9.21,9.21,9.21,,,,
2026-07-01,8.88,8.88,8.88,8.88,,,,
2026-07-02,9.62,9.62,9.62,9.62,,,,
2026-07-03,10.28,10.28,10.28,10.28,,,,
2026-07-06,8.23,8.23,8.23,8.23,,,,
2026-07-07,9.72,9.72,9.72,9.72,,,,
2026-07-08,9.52,9.52,9.52,9.52,,,,
2026-07-09,8.19,8.19,8.19,8.19,,,,
2026-07-10,8.86,8.86,8.86,8.86,,,,
2026-07-13,8.61,8.61,8.61,8.61,,,,
