Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,85.83,85.83,85.83,85.83,,,,
2026-06-15,85.82,85.82,85.82,85.82,,,,
2026-06-16,85.65,85.65,85.65,85.65,,,,
2026-06-17,84.50,84.50,84.50,84.50,,,,
2026-06-18,85.29,85.29,85.29,85.29,,,,
2026-06-19,83.37,83.37,83.37,83.37,,,,
2026-06-22,82.16,82.16,82.16,82.16,,,,
2026-06-23,86.19,86.19,86.19,86.19,,,,
2026-06-24,86.43,86.43,86.43,86.43,,,,
2026-06-25,83.89,83.89,83.89,83.89,,,,
2026-06-26,85.51,85.51,85.51,85.51,,,,
2026-06-29,85.01,85.01,85.01,85.01,,,,
2026-06-30,85.07,85.07,85.07,85.07,,,,
2026-07-01,85.04,85.04,85.04,85.04,,,,
2026-07-02,85.87,85.87,85.87,85.87,,,,
