Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,58506.41,58506.41,58506.41,58506.41,,,,
2026-06-15,62523.08,62523.08,62523.08,62523.08,,,,
2026-06-16,62598.18,62598.18,62598.18,62598.18,,,,
2026-06-17,63554.63,63554.63,63554.63,63554.63,,,,
2026-06-18,64294.31,64294.31,64294.31,64294.31,,,,
2026-06-19,63669.90,63669.90,63669.90,63669.90,,,,
2026-06-22,64210.24,64210.24,64210.24,64210.24,,,,
2026-06-23,61825.88,61825.88,61825.88,61825.88,,,,
2026-06-24,61263.86,61263.86,61263.86,61263.86,,,,
2026-06-25,63531.09,63531.09,63531.09,63531.09,,,,
2026-06-26,61224.02,61224.02,61224.02,61224.02,,,,
2026-06-29,61796.45,61796.45,61796.45,61796.45,,,,
2026-06-30,62973.55,62973.55,62973.55,62973.55,,,,
2026-07-01,64889.68,64889.68,64889.68,64889.68,,,,
2026-07-02,63040.55,63040.55,63040.55,63040.55,,,,
2026-07-03,64423.19,64423.19,64423.19,64423.19,,,,
2026-07-06,63756.22,63756.22,63756.22,63756.22,,,,
2026-07-07,61366.30,61366.30,61366.30,61366.30,,,,
