Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,77.44,77.44,77.44,77.44,,,,
2026-06-15,77.74,77.74,77.74,77.74,,,,
2026-06-16,77.74,77.74,77.74,77.74,,,,
2026-06-17,77.75,77.75,77.75,77.75,,,,
2026-06-18,77.87,77.87,77.87,77.87,,,,
2026-06-19,77.91,77.91,77.91,77.91,,,,
2026-06-22,77.94,77.94,77.94,77.94,,,,
2026-06-23,77.67,77.67,77.67,77.67,,,,
2026-06-24,77.63,77.63,77.63,77.63,,,,
2026-06-25,77.76,77.76,77.76,77.76,,,,
2026-06-26,77.42,77.42,77.42,77.42,,,,
2026-06-29,77.35,77.35,77.35,77.35,,,,
2026-06-30,77.43,77.43,77.43,77.43,,,,
2026-07-01,77.49,77.49,77.49,77.49,,,,
2026-07-02,77.27,77.27,77.27,77.27,,,,
2026-07-03,77.26,77.26,77.26,77.26,,,,
2026-07-06,77.28,77.28,77.28,77.28,,,,
2026-07-07,77.18,77.18,77.18,77.18,,,,
2026-07-08,77.04,77.04,77.04,77.04,,,,
2026-07-09,77.18,77.18,77.18,77.18,,,,
2026-07-10,77.26,77.26,77.26,77.26,,,,
2026-07-13,77.12,77.12,77.12,77.12,,,,
