Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,57.73,57.73,57.73,57.73,,,,
2026-06-15,59.07,59.07,59.07,59.07,,,,
2026-06-16,59.02,59.02,59.02,59.02,,,,
2026-06-17,59.06,59.06,59.06,59.06,,,,
2026-06-18,59.53,59.53,59.53,59.53,,,,
2026-06-19,59.76,59.76,59.76,59.76,,,,
2026-06-22,60.00,60.00,60.00,60.00,,,,
2026-06-23,58.84,58.84,58.84,58.84,,,,
2026-06-24,58.83,58.83,58.83,58.83,,,,
2026-06-25,60.14,60.14,60.14,60.14,,,,
2026-06-26,58.67,58.67,58.67,58.67,,,,
2026-06-29,58.43,58.43,58.43,58.43,,,,
2026-06-30,58.85,58.85,58.85,58.85,,,,
2026-07-01,59.23,59.23,59.23,59.23,,,,
2026-07-02,58.06,58.06,58.06,58.06,,,,
2026-07-03,58.02,58.02,58.02,58.02,,,,
2026-07-06,57.27,57.27,57.27,57.27,,,,
2026-07-07,56.45,56.45,56.45,56.45,,,,
