Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,1385.09,1385.09,1385.09,1385.09,,,,
2026-06-15,2834.71,2834.71,2834.71,2834.71,,,,
2026-06-16,17.04,17.04,17.04,17.04,,,,
2026-06-17,320.07,320.07,320.07,320.07,,,,
2026-06-18,1016.08,1016.08,1016.08,1016.08,,,,
2026-06-19,283.89,283.89,283.89,283.89,,,,
2026-06-22,827.41,827.41,827.41,827.41,,,,
2026-06-23,-2342.91,-2342.91,-2342.91,-2342.91,,,,
2026-06-24,-373.84,-373.84,-373.84,-373.84,,,,
2026-06-25,2825.00,2825.00,2825.00,2825.00,,,,
2026-06-26,-2820.96,-2820.96,-2820.96,-2820.96,,,,
2026-06-29,-109.25,-109.25,-109.25,-109.25,,,,
2026-06-30,645.48,645.48,645.48,645.48,,,,
2026-07-01,510.53,510.53,510.53,510.53,,,,
2026-07-02,-1834.32,-1834.32,-1834.32,-1834.32,,,,
2026-07-03,555.65,555.65,555.65,555.65,,,,
2026-07-06,-524.40,-524.40,-524.40,-524.40,,,,
2026-07-07,-1409.16,-1409.16,-1409.16,-1409.16,,,,
2026-07-08,-1038.36,-1038.36,-1038.36,-1038.36,,,,
2026-07-09,1089.55,1089.55,1089.55,1089.55,,,,
2026-07-10,1018.68,1018.68,1018.68,1018.68,,,,
2026-07-13,-1195.77,-1195.77,-1195.77,-1195.77,,,,
2026-07-14,432.96,432.96,432.96,432.96,,,,
2026-07-15,889.04,889.04,889.04,889.04,,,,
2026-07-16,-1691.54,-1691.54,-1691.54,-1691.54,,,,
2026-07-17,-2349.52,-2349.52,-2349.52,-2349.52,,,,
2026-07-21,1553.56,1553.56,1553.56,1553.56,,,,
2026-07-22,120.28,120.28,120.28,120.28,,,,
2026-07-23,417.75,417.75,417.75,417.75,,,,
2026-07-24,-1572.18,-1572.18,-1572.18,-1572.18,,,,
2026-07-27,-106.03,-106.03,-106.03,-106.03,,,,
2026-07-28,-2475.50,-2475.50,-2475.50,-2475.50,,,,
2026-07-29,-1262.67,-1262.67,-1262.67,-1262.67,,,,
2026-07-30,838.89,838.89,838.89,838.89,,,,
2026-07-31,2628.15,2628.15,2628.15,2628.15,,,,
2026-08-03,-492.58,-492.58,-492.58,-492.58,,,,
2026-08-04,188.65,188.65,188.65,188.65,,,,
2026-08-05,2138.58,2138.58,2138.58,2138.58,,,,
2026-08-06,-1022.43,-1022.43,-1022.43,-1022.43,,,,
2026-08-07,-393.83,-393.83,-393.83,-393.83,,,,
2026-08-10,962.48,962.48,962.48,962.48,,,,
2026-08-12,437.39,437.39,437.39,437.39,,,,
