Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,109.86,109.86,109.86,109.86,,,,
2026-06-15,-15.30,-15.30,-15.30,-15.30,,,,
2026-06-16,69.36,69.36,69.36,69.36,,,,
2026-06-17,89.98,89.98,89.98,89.98,,,,
2026-06-18,139.31,139.31,139.31,139.31,,,,
2026-06-19,-167.16,-167.16,-167.16,-167.16,,,,
2026-06-22,-55.54,-55.54,-55.54,-55.54,,,,
2026-06-23,7.33,7.33,7.33,7.33,,,,
2026-06-24,-46.86,-46.86,-46.86,-46.86,,,,
2026-06-25,285.01,285.01,285.01,285.01,,,,
2026-06-26,-39.47,-39.47,-39.47,-39.47,,,,
2026-06-29,189.75,189.75,189.75,189.75,,,,
2026-06-30,-146.51,-146.51,-146.51,-146.51,,,,
2026-07-01,-44.82,-44.82,-44.82,-44.82,,,,
2026-07-02,106.75,106.75,106.75,106.75,,,,
2026-07-03,263.33,263.33,263.33,263.33,,,,
2026-07-06,264.43,264.43,264.43,264.43,,,,
2026-07-07,154.49,154.49,154.49,154.49,,,,
2026-07-08,-92.85,-92.85,-92.85,-92.85,,,,
2026-07-09,-157.13,-157.13,-157.13,-157.13,,,,
2026-07-10,-322.04,-322.04,-322.04,-322.04,,,,
