Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,233.07,233.07,233.07,233.07,,,,
2026-06-15,279.77,279.77,279.77,279.77,,,,
2026-06-16,42.49,42.49,42.49,42.49,,,,
2026-06-17,52.33,52.33,52.33,52.33,,,,
2026-06-18,-69.45,-69.45,-69.45,-69.45,,,,
2026-06-19,148.75,148.75,148.75,148.75,,,,
2026-06-22,280.44,280.44,280.44,280.44,,,,
2026-06-23,-103.49,-103.49,-103.49,-103.49,,,,
2026-06-24,-135.88,-135.88,-135.88,-135.88,,,,
2026-06-25,58.05,58.05,58.05,58.05,,,,
2026-06-26,-166.91,-166.91,-166.91,-166.91,,,,
2026-06-29,-48.25,-48.25,-48.25,-48.25,,,,
2026-06-30,92.90,92.90,92.90,92.90,,,,
2026-07-01,-64.49,-64.49,-64.49,-64.49,,,,
2026-07-02,-118.90,-118.90,-118.90,-118.90,,,,
2026-07-03,59.76,59.76,59.76,59.76,,,,
2026-07-06,95.60,95.60,95.60,95.60,,,,
2026-07-07,-179.79,-179.79,-179.79,-179.79,,,,
2026-07-08,-199.05,-199.05,-199.05,-199.05,,,,
2026-07-09,24.78,24.78,24.78,24.78,,,,
2026-07-10,124.04,124.04,124.04,124.04,,,,
2026-07-13,-73.32,-73.32,-73.32,-73.32,,,,
2026-07-14,60.35,60.35,60.35,60.35,,,,
2026-07-15,193.23,193.23,193.23,193.23,,,,
2026-07-16,-217.31,-217.31,-217.31,-217.31,,,,
2026-07-17,-246.03,-246.03,-246.03,-246.03,,,,
2026-07-21,239.59,239.59,239.59,239.59,,,,
2026-07-22,61.66,61.66,61.66,61.66,,,,
