Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,61.72,61.72,61.72,61.72,,,,
2026-06-15,163.55,163.55,163.55,163.55,,,,
2026-06-16,-33.86,-33.86,-33.86,-33.86,,,,
2026-06-17,39.97,39.97,39.97,39.97,,,,
2026-06-18,29.50,29.50,29.50,29.50,,,,
2026-06-19,-21.50,-21.50,-21.50,-21.50,,,,
2026-06-22,21.64,21.64,21.64,21.64,,,,
2026-06-23,-95.93,-95.93,-95.93,-95.93,,,,
2026-06-24,-9.14,-9.14,-9.14,-9.14,,,,
2026-06-25,32.10,32.10,32.10,32.10,,,,
2026-06-26,9.82,9.82,9.82,9.82,,,,
2026-06-29,48.45,48.45,48.45,48.45,,,,
2026-06-30,0.16,0.16,0.16,0.16,,,,
2026-07-01,14.94,14.94,14.94,14.94,,,,
2026-07-02,35.09,35.09,35.09,35.09,,,,
2026-07-03,86.82,86.82,86.82,86.82,,,,
2026-07-06,103.13,103.13,103.13,103.13,,,,
2026-07-07,-46.87,-46.87,-46.87,-46.87,,,,
2026-07-08,-106.00,-106.00,-106.00,-106.00,,,,
2026-07-09,-26.87,-26.87,-26.87,-26.87,,,,
2026-07-10,17.60,17.60,17.60,17.60,,,,
2026-07-13,-41.35,-41.35,-41.35,-41.35,,,,
2026-07-14,12.08,12.08,12.08,12.08,,,,
2026-07-15,55.73,55.73,55.73,55.73,,,,
2026-07-16,-33.92,-33.92,-33.92,-33.92,,,,
2026-07-17,-107.77,-107.77,-107.77,-107.77,,,,
2026-07-21,72.66,72.66,72.66,72.66,,,,
2026-07-22,-11.16,-11.16,-11.16,-11.16,,,,
2026-07-23,16.60,16.60,16.60,16.60,,,,
2026-07-24,-30.78,-30.78,-30.78,-30.78,,,,
2026-07-27,110.58,110.58,110.58,110.58,,,,
