Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,1.16,1.16,1.16,1.16,,,,
2026-06-15,1.11,1.11,1.11,1.11,,,,
2026-06-16,1.10,1.10,1.10,1.10,,,,
2026-06-17,1.08,1.08,1.08,1.08,,,,
2026-06-18,1.06,1.06,1.06,1.06,,,,
2026-06-19,1.05,1.05,1.05,1.05,,,,
2026-06-22,1.04,1.04,1.04,1.04,,,,
2026-06-23,1.08,1.08,1.08,1.08,,,,
2026-06-24,1.09,1.09,1.09,1.09,,,,
2026-06-25,1.04,1.04,1.04,1.04,,,,
2026-06-26,1.09,1.09,1.09,1.09,,,,
2026-06-29,1.10,1.10,1.10,1.10,,,,
2026-06-30,1.09,1.09,1.09,1.09,,,,
2026-07-01,1.07,1.07,1.07,1.07,,,,
2026-07-02,1.12,1.12,1.12,1.12,,,,
2026-07-03,1.12,1.12,1.12,1.12,,,,
2026-07-06,1.15,1.15,1.15,1.15,,,,
2026-07-07,1.17,1.17,1.17,1.17,,,,
2026-07-08,1.20,1.20,1.20,1.20,,,,
2026-07-09,1.17,1.17,1.17,1.17,,,,
2026-07-10,1.14,1.14,1.14,1.14,,,,
2026-07-13,1.17,1.17,1.17,1.17,,,,
2026-07-14,1.18,1.18,1.18,1.18,,,,
