Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,7191.78,7197.51,7143.77,7143.77,,,,
2026-01-29,7240.93,7253.78,7077.33,7077.33,,,,2026-01-30,7097.15,7165.09,7097.15,7165.09,,,,
2026-02-02,7116.37,7175.12,7103.47,7173.69,,,,
2026-02-03,7162.93,7164.36,7079.71,7104.11,,,,
2026-02-04,7099.85,7141.05,7042.30,7060.77,,,,
2026-02-05,7033.94,7070.66,7032.53,7053.00,,,,
2026-02-06,7048.06,7112.95,7048.06,7104.49,,,,
2026-02-09,7071.10,7112.30,7044.10,7088.15,,,,
2026-02-10,7071.14,7093.82,7054.84,7061.22,,,,
2026-02-12,7105.71,7107.82,7076.05,7085.93,,,,
2026-02-13,7088.06,7172.38,7083.80,7157.50,,,,
2026-02-16,7139.61,7168.24,7068.75,7068.75,,,,
2026-02-17,7085.01,7154.28,7085.01,7122.47,,,,
2026-02-18,7132.44,7136.71,7046.26,7054.81,,,,
2026-02-19,7065.39,7125.36,7065.39,7100.67,,,,
2026-02-20,7097.12,7098.54,7066.59,7079.37,,,,
2026-02-24,7048.22,7076.54,6997.25,7014.95,,,,
2026-02-25,7006.53,7019.86,6958.13,6958.13,,,,
2026-02-26,7013.10,7027.71,6962.30,6980.40,,,,
2026-02-27,6981.80,7083.71,6981.80,7083.71,,,,
2026-03-02,7109.21,7128.34,7040.50,7044.75,,,,
2026-03-03,7117.31,7156.76,7115.20,7156.76,,,,
2026-03-04,7201.85,7264.11,7197.55,7254.81,,,,
