Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,8948.35,9069.15,8933.92,9069.15,,,,
2026-01-29,8822.47,9237.84,8789.82,9237.84,,,,2026-01-30,9186.11,9186.11,9008.74,9008.74,,,,
2026-02-02,9131.26,9163.69,8983.52,8987.12,,,,
2026-02-03,9014.08,9222.58,9010.49,9161.47,,,,
2026-02-04,9172.46,9320.88,9066.19,9273.24,,,,
2026-02-05,9343.72,9347.43,9247.27,9293.64,,,,
2026-02-06,9306.65,9306.65,9135.65,9157.95,,,,
2026-02-09,9244.03,9313.64,9137.80,9200.08,,,,
2026-02-10,9244.24,9286.56,9185.36,9270.00,,,,
2026-02-12,9153.20,9231.07,9147.64,9205.11,,,,
2026-02-13,9199.59,9210.63,8980.51,9019.17,,,,
2026-02-16,9064.27,9242.85,8992.11,9242.85,,,,
2026-02-17,9200.33,9200.33,9019.17,9102.36,,,,
2026-02-18,9076.87,9297.15,9065.95,9275.30,,,,
2026-02-19,9247.47,9247.47,9089.79,9154.72,,,,
2026-02-20,9163.87,9242.61,9160.21,9209.65,,,,
2026-02-24,9290.69,9423.31,9217.02,9377.27,,,,
2026-02-25,9399.78,9529.18,9364.14,9529.18,,,,
2026-02-26,9378.62,9517.74,9338.60,9468.19,,,,
2026-02-27,9464.40,9464.40,9187.93,9187.93,,,,
2026-03-02,9121.78,9300.02,9072.16,9289.00,,,,
2026-03-03,9097.65,9103.22,8993.61,8993.61,,,,
2026-03-04,8880.29,8891.08,8723.80,8747.19,,,,
2026-03-05,8958.87,9123.32,8958.87,9014.85,,,,
2026-03-06,8926.50,8986.00,8830.95,8854.39,,,,
2026-03-09,8617.09,8826.06,8569.28,8751.68,,,,
2026-03-10,8779.69,8865.45,8744.68,8784.94,,,,
2026-03-11,8809.54,9018.62,8755.07,8944.83,,,,
2026-03-12,8848.23,8867.90,8774.88,8821.39,,,,
2026-03-13,8768.46,8930.78,8719.06,8740.23,,,,
2026-03-16,8700.02,8932.52,8668.56,8873.08,,,,
2026-03-17,8945.84,9006.18,8905.02,8984.88,,,,
2026-03-18,8983.08,9060.35,8956.13,9060.35,,,,
2026-03-19,8960.69,8984.24,8764.98,8764.98,,,,
2026-03-23,8528.33,8542.35,8319.72,8405.62,,,,
2026-03-24,8538.43,8615.76,8387.13,8387.13,,,,
2026-03-25,8536.42,8593.45,8487.78,8533.07,,,,
2026-03-26,8485.28,8502.35,8324.86,8399.95,,,,
2026-03-27,8396.59,8431.87,8295.79,8359.63,,,,
2026-03-30,8070.39,8113.86,7938.30,7938.30,,,,
2026-03-31,7938.30,7984.34,7830.34,7830.34,,,,
2026-04-01,8016.70,8204.63,8008.87,8204.63,,,,
2026-04-02,8237.45,8396.62,8025.77,8045.46,,,,
2026-04-03,8066.38,8233.72,8050.29,8217.63,,,,
2026-04-06,8194.62,8327.75,8194.62,8270.22,,,,
2026-04-07,8301.65,8424.05,8247.06,8250.37,,,,
2026-04-08,8428.58,8595.24,8357.62,8595.24,,,,
2026-04-09,8521.32,8614.15,8347.70,8385.52,,,,
2026-04-10,8363.72,8398.94,8313.40,8398.94,,,,
2026-04-13,8304.87,8412.38,8291.43,8380.46,,,,
2026-04-14,8465.94,8586.62,8465.94,8568.18,,,,
2026-04-15,8629.87,8653.86,8535.62,8535.62,,,,
2026-04-16,8588.54,8631.22,8472.46,8631.22,,,,
2026-04-17,8586.34,8619.14,8470.68,8498.30,,,,
2026-04-20,8544.19,8573.09,8483.00,8489.80,,,,
2026-04-21,8525.46,8528.85,8386.22,8404.90,,,,
2026-04-22,8383.05,8383.05,8243.53,8243.53,,,,
2026-04-23,8218.80,8327.61,8164.39,8271.56,,,,
2026-04-24,8304.65,8322.84,8233.51,8271.56,,,,
2026-04-27,8276.52,8331.12,8240.13,8283.14,,,,
2026-04-28,8246.69,8246.69,8061.15,8069.43,,,,
2026-04-30,8033.92,8085.57,8008.10,8083.95,,,,
2026-05-01,8056.46,8111.44,7990.18,8035.45,,,,
2026-05-07,8136.70,8178.48,7995.27,8075.63,,,,
2026-05-08,8059.48,8069.17,7881.81,7894.74,,,,
2026-05-11,7924.74,7972.11,7858.42,7886.85,,,,
2026-05-12,7918.40,7924.71,7752.77,7785.90,,,,
2026-05-13,7773.44,7773.44,7664.44,7687.80,,,,
2026-05-14,7700.10,7730.85,7618.61,7680.11,,,,
2026-05-15,7664.75,7778.42,7652.46,7727.73,,,,
2026-05-18,7689.09,7689.09,7423.26,7522.17,,,,
2026-05-19,7523.67,7641.02,7508.63,7641.02,,,,
2026-05-20,7682.28,7683.81,7413.32,7456.11,,,,
2026-05-21,7526.20,7556.02,7453.13,7541.11,,,,
