Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,2379.58,2391.28,2377.39,2391.28,,,,
2026-01-29,2356.52,2413.60,2352.35,2413.60,,,,2026-01-30,2407.14,2407.44,2381.72,2382.10,,,,
2026-02-02,2396.39,2399.82,2376.49,2377.24,,,,
2026-02-03,2380.58,2408.90,2380.44,2400.77,,,,
2026-02-04,2403.28,2421.36,2390.38,2415.26,,,,
2026-02-05,2423.02,2423.68,2410.02,2417.57,,,,
2026-02-06,2419.82,2419.82,2398.06,2400.51,,,,
2026-02-09,2412.69,2423.40,2398.36,2407.98,,,,
2026-02-10,2411.81,2419.14,2404.50,2416.03,,,,
2026-02-12,2402.15,2411.65,2402.15,2404.16,,,,
2026-02-13,2402.96,2404.37,2375.09,2380.56,,,,
2026-02-16,2386.36,2413.76,2376.89,2413.76,,,,
2026-02-17,2409.40,2409.40,2386.39,2397.95,,,,
2026-02-18,2393.99,2420.98,2392.17,2418.12,,,,
2026-02-19,2414.92,2414.92,2394.19,2404.22,,,,
2026-02-20,2405.17,2416.81,2405.17,2410.69,,,,
2026-02-24,2422.33,2439.27,2411.97,2432.92,,,,
2026-02-25,2434.39,2447.00,2428.26,2447.00,,,,
2026-02-26,2418.55,2434.44,2411.82,2426.44,,,,
2026-02-27,2428.54,2428.54,2397.09,2397.09,,,,
2026-03-02,2387.87,2409.06,2382.05,2409.06,,,,
2026-03-03,2383.01,2384.95,2369.09,2369.09,,,,
2026-03-04,2350.37,2353.05,2329.24,2334.76,,,,
2026-03-05,2365.46,2386.77,2365.01,2369.15,,,,
2026-03-06,2357.68,2368.43,2346.69,2351.31,,,,
2026-03-09,2314.77,2346.96,2312.18,2338.44,,,,
2026-03-10,2340.16,2351.74,2335.56,2338.76,,,,
2026-03-11,2342.79,2367.70,2335.27,2357.84,,,,
2026-03-12,2345.01,2348.19,2337.31,2343.15,,,,
2026-03-13,2335.33,2357.51,2328.71,2330.79,,,,
2026-03-16,2325.65,2356.84,2321.36,2350.03,,,,
2026-03-17,2360.06,2370.25,2355.98,2367.65,,,,
2026-03-18,2366.59,2376.31,2364.15,2376.31,,,,
2026-03-19,2362.36,2364.64,2338.18,2338.18,,,,
2026-03-23,2309.77,2310.18,2281.47,2295.23,,,,
2026-03-24,2312.73,2321.19,2292.67,2292.67,,,,
2026-03-25,2314.96,2320.92,2306.18,2316.99,,,,
2026-03-26,2309.92,2312.68,2287.04,2298.10,,,,
2026-03-27,2297.67,2302.79,2279.25,2286.78,,,,
2026-03-30,2248.14,2253.57,2230.30,2230.30,,,,
2026-03-31,2230.41,2237.99,2214.11,2214.11,,,,
2026-04-01,2241.37,2266.09,2241.37,2266.09,,,,
2026-04-02,2273.22,2297.98,2247.45,2250.33,,,,
2026-04-03,2254.57,2276.71,2250.69,2274.12,,,,
2026-04-06,2270.59,2288.70,2270.59,2280.37,,,,
2026-04-07,2285.57,2303.29,2278.78,2278.78,,,,
2026-04-08,2304.28,2329.71,2296.38,2329.71,,,,
2026-04-09,2318.91,2332.83,2297.49,2302.38,,,,
2026-04-10,2300.34,2303.97,2292.51,2303.97,,,,
2026-04-13,2290.41,2305.45,2290.00,2305.14,,,,
2026-04-14,2318.77,2339.93,2318.77,2336.85,,,,
2026-04-15,2347.29,2351.02,2338.99,2339.05,,,,
2026-04-16,2348.11,2356.83,2335.23,2356.83,,,,
2026-04-17,2350.32,2354.52,2336.86,2344.76,,,,
2026-04-20,2349.20,2353.13,2334.95,2335.07,,,,
2026-04-21,2341.74,2342.01,2316.88,2320.40,,,,
2026-04-22,2313.93,2314.38,2299.30,2301.13,,,,
2026-04-23,2297.34,2311.55,2291.27,2306.92,,,,
2026-04-24,2312.13,2315.12,2298.06,2303.36,,,,
2026-04-27,2305.04,2310.33,2296.78,2302.85,,,,
2026-04-28,2304.61,2304.61,2276.78,2279.62,,,,
2026-04-30,2272.86,2280.93,2269.26,2279.13,,,,
2026-05-01,2278.65,2286.64,2267.77,2273.58,,,,
2026-05-07,2290.85,2296.64,2271.14,2285.37,,,,
2026-05-08,2279.25,2282.16,2256.40,2257.86,,,,
2026-05-11,2260.50,2267.09,2250.71,2252.96,,,,
2026-05-12,2259.65,2260.61,2238.88,2240.51,,,,
2026-05-13,2239.79,2239.79,2224.74,2230.28,,,,
2026-05-14,2232.44,2236.20,2219.59,2229.99,,,,
2026-05-15,2228.13,2242.56,2221.69,2233.55,,,,
2026-05-18,2228.23,2228.23,2193.06,2207.68,,,,
2026-05-19,2207.48,2222.82,2204.26,2220.48,,,,
2026-05-20,2228.45,2228.81,2191.53,2197.79,,,,
2026-05-21,2209.22,2212.50,2198.02,2210.41,,,,
2026-05-22,2206.33,2206.33,2188.21,2193.76,,,,
2026-05-25,2190.01,2198.82,2189.06,2192.58,,,,
2026-05-27,2199.77,2205.39,2190.75,2205.39,,,,
2026-05-28,2175.48,2190.43,2171.10,2188.86,,,,
2026-05-29,2196.73,2215.02,2184.46,2196.05,,,,
2026-06-01,2196.77,2196.77,2163.02,2164.83,,,,
2026-06-02,2149.39,2150.36,2127.68,2147.02,,,,
2026-06-03,2148.25,2172.65,2148.25,2165.08,,,,
2026-06-04,2158.98,2158.98,2134.40,2137.67,,,,
2026-06-05,2143.51,2152.65,2128.35,2134.97,,,,
2026-06-08,2121.95,2151.48,2121.95,2151.26,,,,
2026-06-09,2157.35,2157.35,2131.53,2144.03,,,,
2026-06-10,2147.66,2167.40,2139.43,2167.40,,,,
2026-06-11,2157.99,2185.61,2154.17,2166.64,,,,
2026-06-12,2168.46,2197.81,2166.73,2185.64,,,,
2026-06-15,2198.72,2211.86,2190.22,2207.58,,,,
2026-06-16,2191.89,2191.98,2162.51,2171.16,,,,
2026-06-17,2171.23,2173.34,2155.87,2163.59,,,,
2026-06-18,2158.09,2168.39,2150.36,2162.27,,,,
2026-06-19,2159.49,2169.22,2156.65,2168.37,,,,
2026-06-22,2156.80,2167.37,2153.69,2160.28,,,,
2026-06-23,2164.09,2173.03,2157.58,2166.59,,,,
2026-06-24,2168.71,2180.00,2167.59,2180.00,,,,
2026-06-25,2185.63,2207.55,2176.33,2196.68,,,,
