Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,801.97,802.03,798.21,801.47,,,,
2026-01-29,800.41,802.25,796.53,801.85,,,,2026-01-30,799.02,800.52,798.07,799.97,,,,
2026-01-30,799.02,800.52,798.07,799.97,,,,
2026-02-02,798.24,799.04,796.85,796.85,,,,
2026-02-03,796.62,798.76,796.37,798.03,,,,
2026-02-04,798.75,802.04,798.75,799.13,,,,
2026-02-05,799.25,800.64,798.56,798.69,,,,
2026-02-06,798.03,799.52,796.89,797.87,,,,
2026-02-09,799.10,799.11,795.19,795.33,,,,
2026-02-10,794.90,797.00,794.90,796.10,,,,
2026-02-12,796.79,798.81,795.97,797.48,,,,
2026-02-13,797.02,797.44,794.10,796.41,,,,
2026-02-16,797.41,800.14,796.76,799.46,,,,
2026-02-17,798.81,799.57,797.14,798.39,,,,
2026-02-18,798.03,799.29,797.80,798.41,,,,
2026-02-19,798.88,798.88,793.28,793.28,,,,
2026-02-20,794.35,800.64,793.13,800.64,,,,
2026-02-24,798.77,805.20,798.19,804.98,,,,
2026-02-25,804.84,813.08,804.12,810.88,,,,
2026-02-26,810.56,825.85,810.56,825.66,,,,
2026-02-27,818.83,818.83,804.80,805.71,,,,
2026-03-02,804.33,810.56,801.96,810.36,,,,
2026-03-03,809.10,809.10,798.19,799.05,,,,
2026-03-04,796.70,796.70,786.41,791.22,,,,
2026-03-05,793.09,800.05,793.08,797.75,,,,
2026-03-06,792.84,797.85,792.84,797.40,,,,
2026-03-09,790.49,795.21,784.89,794.34,,,,
2026-03-10,792.36,797.29,790.56,795.64,,,,
2026-03-11,793.66,806.68,793.66,806.68,,,,
2026-03-12,807.22,807.22,800.76,800.85,,,,
2026-03-13,799.64,806.00,799.64,802.86,,,,
2026-03-16,802.68,811.69,801.55,810.54,,,,
2026-03-17,810.82,811.63,807.25,807.92,,,,
2026-03-18,806.14,808.48,805.89,807.97,,,,
2026-03-19,805.54,806.26,799.29,799.97,,,,
2026-03-23,795.38,795.38,789.39,792.19,,,,
2026-03-24,794.88,796.79,794.55,794.88,,,,
2026-03-25,797.35,800.73,796.56,799.58,,,,
2026-03-26,799.40,800.63,794.85,798.40,,,,
2026-03-27,796.56,798.16,796.31,797.78,,,,
2026-03-30,794.99,798.20,792.02,794.23,,,,
2026-03-31,793.13,795.36,791.31,795.36,,,,
2026-04-01,797.10,804.74,797.08,802.74,,,,
2026-04-02,801.04,803.81,799.16,803.50,,,,
2026-04-03,803.07,812.44,802.61,812.44,,,,
2026-04-06,809.57,814.58,809.57,814.58,,,,
2026-04-07,813.96,816.92,812.64,815.65,,,,
2026-04-08,818.17,822.38,818.14,822.30,,,,
2026-04-09,820.33,822.62,818.28,821.05,,,,
2026-04-10,819.17,821.48,811.20,811.20,,,,
2026-04-13,810.58,815.97,810.58,813.45,,,,
2026-04-14,811.38,814.87,810.51,813.24,,,,
2026-04-15,814.99,815.92,812.00,813.53,,,,
2026-04-16,814.06,814.94,810.31,814.16,,,,
2026-04-17,811.18,814.36,810.20,814.04,,,,
2026-04-20,810.51,813.02,802.68,806.38,,,,
2026-04-21,806.99,808.09,804.16,804.45,,,,
2026-04-22,804.63,805.36,800.62,803.99,,,,
2026-04-23,803.97,804.52,799.27,801.31,,,,
2026-04-24,803.52,804.65,798.54,801.49,,,,
2026-04-27,800.41,801.18,799.05,800.75,,,,
2026-04-28,798.94,802.80,798.94,802.19,,,,
2026-04-30,801.22,803.42,801.13,802.68,,,,
2026-05-01,803.38,803.38,799.15,800.48,,,,
2026-05-07,802.17,804.35,800.67,804.00,,,,
2026-05-08,802.26,805.44,801.54,804.56,,,,
2026-05-11,802.78,803.52,800.44,800.95,,,,
2026-05-12,802.45,802.92,800.50,801.97,,,,
2026-05-13,801.20,802.74,797.49,798.72,,,,
2026-05-14,799.36,799.75,796.80,797.64,,,,
2026-05-15,798.31,799.86,796.56,797.97,,,,
2026-05-18,798.33,798.49,793.35,793.35,,,,
2026-05-19,793.37,796.36,789.23,789.23,,,,
2026-05-20,789.67,791.33,780.98,782.12,,,,
2026-05-21,789.51,792.00,786.52,789.29,,,,
2026-05-22,791.91,792.96,787.76,789.35,,,,
2026-05-25,788.34,790.05,785.03,789.58,,,,
2026-05-27,786.86,789.50,786.25,786.49,,,,
2026-05-28,771.68,773.05,763.81,763.81,,,,
2026-05-29,765.34,772.49,763.38,771.38,,,,
2026-06-01,770.46,770.46,753.92,759.82,,,,
2026-06-02,758.34,760.44,752.44,753.83,,,,
2026-06-03,755.86,760.66,753.67,757.40,,,,
2026-06-04,755.50,755.50,751.94,752.96,,,,
2026-06-05,753.63,758.17,753.27,757.54,,,,
2026-06-08,753.72,756.46,750.92,753.75,,,,
2026-06-09,753.19,753.27,743.87,747.21,,,,
2026-06-10,746.41,750.25,745.33,748.14,,,,
2026-06-11,746.31,748.94,742.29,747.98,,,,
2026-06-12,749.18,750.65,746.67,748.57,,,,
2026-06-15,749.55,755.52,748.50,754.56,,,,
2026-06-16,754.91,756.93,750.31,756.29,,,,
2026-06-17,755.09,755.93,751.17,755.05,,,,
2026-06-18,755.31,758.43,752.32,754.52,,,,
2026-06-19,753.86,756.20,751.74,755.50,,,,
2026-06-22,753.12,753.57,743.04,744.18,,,,
2026-06-23,743.24,747.22,742.95,744.28,,,,
