Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,833.64,833.65,817.01,820.54,,,,
2026-01-29,819.14,824.77,812.97,822.70,,,,2026-01-30,820.13,826.57,816.15,822.45,,,,
2026-02-02,821.84,833.14,814.09,817.47,,,,
2026-02-03,818.57,827.03,814.21,826.28,,,,
2026-02-04,819.74,819.74,806.26,815.65,,,,
2026-02-05,813.86,826.70,812.06,817.97,,,,
2026-02-06,811.20,818.31,797.54,818.31,,,,
2026-02-09,829.32,830.30,817.63,819.73,,,,
2026-02-10,826.39,846.62,826.24,845.94,,,,
2026-02-12,844.45,850.87,838.00,844.03,,,,
2026-02-13,839.73,845.88,831.25,833.72,,,,
2026-02-16,837.20,856.90,831.78,855.98,,,,
2026-02-17,854.92,860.82,844.74,852.84,,,,
2026-02-18,859.14,879.31,856.28,870.38,,,,
2026-02-19,869.80,883.33,862.22,882.62,,,,
2026-02-20,883.12,891.85,874.05,877.90,,,,
2026-02-24,880.95,882.94,859.14,862.69,,,,
2026-02-25,867.36,874.76,858.81,859.26,,,,
2026-02-26,869.59,878.97,864.55,875.24,,,,
2026-02-27,884.12,904.72,884.12,904.67,,,,
2026-03-02,895.00,900.97,881.84,896.41,,,,
2026-03-03,899.25,905.06,869.62,869.62,,,,
2026-03-04,860.12,875.54,829.95,838.64,,,,
2026-03-05,854.22,891.48,854.22,873.91,,,,
2026-03-06,876.96,918.19,874.51,918.19,,,,
2026-03-09,902.07,902.68,863.10,888.34,,,,
2026-03-10,897.59,920.93,897.59,918.65,,,,
2026-03-11,920.18,943.46,918.77,932.81,,,,
2026-03-12,923.34,923.48,903.98,910.09,,,,
2026-03-13,900.59,913.80,892.89,904.85,,,,
2026-03-16,905.53,921.58,902.73,910.04,,,,
2026-03-17,914.05,921.97,897.89,900.07,,,,
2026-03-18,909.90,935.46,909.02,935.46,,,,
2026-03-19,922.22,922.22,885.05,887.02,,,,
2026-03-23,870.26,870.59,832.74,835.90,,,,
2026-03-24,851.07,860.59,833.06,853.61,,,,
2026-03-25,865.09,889.99,865.09,887.16,,,,
2026-03-26,887.57,890.87,865.79,871.18,,,,
2026-03-27,878.41,892.57,872.61,889.19,,,,
2026-03-30,873.44,873.68,839.21,852.54,,,,
2026-03-31,848.36,854.29,833.34,833.93,,,,
2026-04-01,848.17,883.89,846.93,883.89,,,,
2026-04-02,886.80,903.01,870.59,874.06,,,,
2026-04-03,884.93,893.26,875.33,883.79,,,,
2026-04-06,886.40,900.29,886.40,895.01,,,,
2026-04-07,898.12,912.74,893.11,901.43,,,,
2026-04-08,915.47,938.77,914.81,938.77,,,,
2026-04-09,924.89,926.84,912.81,916.24,,,,
2026-04-10,915.43,932.39,915.43,921.39,,,,
2026-04-13,910.29,915.89,904.24,914.75,,,,
2026-04-14,923.65,924.69,912.59,920.32,,,,
2026-04-15,931.35,941.33,923.64,934.26,,,,
2026-04-16,941.77,950.51,936.94,944.29,,,,
2026-04-17,943.15,952.69,940.96,950.36,,,,
2026-04-20,956.46,972.26,949.43,963.80,,,,
2026-04-21,968.46,971.06,960.07,965.22,,,,
2026-04-22,965.11,967.25,944.36,950.08,,,,
2026-04-23,948.55,948.55,908.35,919.55,,,,
2026-04-24,911.66,912.50,889.05,896.61,,,,
2026-04-27,896.19,896.19,871.72,876.64,,,,
2026-04-28,876.33,895.30,876.33,894.93,,,,
2026-04-30,889.10,891.42,872.50,876.74,,,,
2026-05-01,877.32,890.32,875.43,881.17,,,,
2026-05-07,888.53,910.44,888.42,904.45,,,,
2026-05-08,902.77,922.55,902.77,919.45,,,,
2026-05-11,928.47,946.25,925.57,936.34,,,,
2026-05-12,932.66,937.23,906.20,921.67,,,,
2026-05-13,921.22,965.49,918.98,951.50,,,,
2026-05-14,949.76,950.53,927.46,932.75,,,,
2026-05-15,929.83,940.73,907.61,915.75,,,,
2026-05-18,920.78,922.07,881.68,882.92,,,,
2026-05-19,893.99,941.08,892.04,936.66,,,,
2026-05-20,932.10,934.80,892.52,897.16,,,,
2026-05-21,905.56,915.28,889.28,908.15,,,,
2026-05-22,912.49,957.72,912.24,953.68,,,,
2026-05-25,959.62,985.68,956.10,973.73,,,,
2026-05-27,993.79,1008.30,970.82,981.27,,,,
2026-05-28,981.64,1006.93,974.39,1005.13,,,,
2026-05-29,1008.55,1019.02,985.44,992.71,,,,
2026-06-01,989.26,989.26,929.36,942.84,,,,
2026-06-02,936.86,936.86,890.52,911.70,,,,
2026-06-03,909.48,912.94,885.15,906.02,,,,
2026-06-04,896.44,896.44,862.91,872.45,,,,
2026-06-05,884.91,920.46,884.91,906.91,,,,
2026-06-08,896.88,910.81,885.71,891.79,,,,
2026-06-09,900.58,904.85,872.59,876.83,,,,
2026-06-10,872.89,875.51,857.04,865.87,,,,
2026-06-11,854.15,865.51,841.03,862.84,,,,
2026-06-12,874.14,889.33,868.23,873.35,,,,
2026-06-15,864.94,864.94,828.91,832.87,,,,
2026-06-16,836.89,846.01,823.78,825.32,,,,
