Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,933.79,933.79,921.20,923.34,,,,
2026-01-29,921.70,926.51,915.02,923.85,,,,2026-01-30,920.80,928.81,918.43,926.73,,,,
2026-02-02,925.85,940.30,922.16,922.81,,,,
2026-02-03,926.50,935.96,924.67,934.85,,,,
2026-02-04,931.42,931.42,922.38,928.46,,,,
2026-02-05,926.37,941.74,924.46,931.64,,,,
2026-02-06,925.23,929.91,910.50,929.91,,,,
2026-02-09,939.57,941.43,934.07,936.47,,,,
2026-02-10,940.28,961.19,940.28,960.14,,,,
2026-02-12,959.66,970.48,959.66,965.42,,,,
2026-02-13,960.32,964.11,944.60,947.00,,,,
2026-02-16,951.39,970.42,950.58,970.42,,,,
2026-02-17,970.24,978.67,962.34,970.16,,,,
2026-02-18,974.11,995.90,973.43,990.40,,,,
2026-02-19,991.12,992.50,979.74,991.16,,,,
2026-02-20,990.99,995.85,970.68,971.67,,,,
2026-02-24,969.14,969.89,952.09,952.61,,,,
2026-02-25,957.18,971.17,957.18,959.81,,,,
2026-02-26,966.61,980.24,966.39,977.02,,,,
2026-02-27,982.68,1011.05,982.68,1011.05,,,,
2026-03-02,997.62,1004.07,985.38,999.05,,,,
2026-03-03,998.16,1005.68,967.72,967.78,,,,
2026-03-04,954.93,965.92,914.21,926.60,,,,
2026-03-05,943.91,985.35,943.91,972.03,,,,
2026-03-06,968.35,996.76,967.19,996.11,,,,
2026-03-09,976.82,976.82,934.48,962.46,,,,
2026-03-10,972.70,999.14,972.70,998.86,,,,
2026-03-11,1001.36,1018.33,1000.96,1008.43,,,,
2026-03-12,999.81,999.81,980.16,986.20,,,,
2026-03-13,975.73,990.72,972.04,982.29,,,,
2026-03-16,980.69,995.18,980.29,989.67,,,,
2026-03-17,996.34,1002.97,971.45,974.63,,,,
2026-03-18,983.02,1006.86,982.46,1006.86,,,,
2026-03-19,992.88,992.88,963.84,965.58,,,,
2026-03-23,949.57,949.57,915.89,917.40,,,,
2026-03-24,933.77,947.62,925.51,940.69,,,,
2026-03-25,949.63,965.75,949.63,962.92,,,,
2026-03-26,961.57,962.89,933.39,938.06,,,,
2026-03-27,938.74,959.30,934.81,955.40,,,,
2026-03-30,936.74,937.33,910.85,924.98,,,,
2026-03-31,921.47,932.48,910.03,911.78,,,,
2026-04-01,926.71,957.18,926.71,957.18,,,,
2026-04-02,959.43,971.08,938.10,940.86,,,,
2026-04-03,951.67,961.80,947.00,951.95,,,,
2026-04-06,955.34,968.15,955.34,961.36,,,,
2026-04-07,963.34,978.59,955.85,963.25,,,,
2026-04-08,977.17,1001.70,977.17,1001.70,,,,
2026-04-09,993.83,996.72,980.24,983.63,,,,
2026-04-10,984.62,997.13,980.97,987.02,,,,
2026-04-13,979.67,985.27,974.83,982.08,,,,
2026-04-14,990.36,997.29,984.50,994.38,,,,
2026-04-15,1002.03,1010.86,995.04,1001.46,,,,
