Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,1618.41,1618.50,1605.21,1607.70,,,,
2026-01-29,1607.59,1609.25,1600.28,1607.28,,,,2026-01-30,1605.83,1608.17,1594.51,1605.98,,,,
2026-02-02,1608.40,1622.38,1601.14,1602.15,,,,
2026-02-03,1611.83,1631.81,1611.73,1630.06,,,,
2026-02-04,1628.30,1635.41,1625.75,1634.75,,,,
2026-02-05,1635.11,1641.41,1630.67,1635.64,,,,
2026-02-06,1631.19,1645.03,1619.90,1645.03,,,,
2026-02-09,1661.05,1671.72,1660.07,1667.53,,,,
2026-02-10,1674.77,1692.13,1674.53,1692.13,,,,
2026-02-12,1694.49,1706.20,1694.49,1706.20,,,,
2026-02-13,1702.28,1705.63,1681.63,1687.25,,,,
2026-02-16,1693.82,1705.66,1693.58,1704.86,,,,
2026-02-17,1704.27,1712.85,1700.06,1707.74,,,,
2026-02-18,1713.84,1721.98,1713.67,1719.50,,,,
2026-02-19,1723.47,1733.30,1718.97,1732.93,,,,
2026-02-20,1726.58,1731.05,1717.18,1722.82,,,,
2026-02-24,1721.73,1733.65,1714.59,1731.27,,,,
2026-02-25,1736.70,1742.98,1731.71,1739.05,,,,
2026-02-26,1742.10,1745.70,1736.40,1741.96,,,,
2026-02-27,1742.43,1765.34,1740.30,1765.34,,,,
2026-03-02,1745.11,1757.06,1733.56,1755.38,,,,
2026-03-03,1750.05,1760.43,1721.91,1721.91,,,,
2026-03-04,1697.96,1701.70,1642.92,1663.29,,,,
2026-03-05,1689.80,1738.53,1689.80,1719.47,,,,
2026-03-06,1706.28,1720.58,1697.99,1720.58,,,,
2026-03-09,1691.61,1691.61,1635.52,1664.57,,,,
2026-03-10,1683.45,1710.82,1683.45,1703.78,,,,
2026-03-11,1714.08,1734.66,1713.95,1723.01,,,,
2026-03-12,1713.91,1713.91,1692.47,1696.51,,,,
2026-03-13,1683.39,1700.41,1682.81,1694.60,,,,
2026-03-16,1692.93,1703.55,1686.60,1695.08,,,,
2026-03-17,1705.59,1711.94,1686.98,1688.21,,,,
