Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,1821.49,1828.32,1813.95,1821.66,,,,
2026-01-29,1815.99,1832.24,1807.94,1826.67,,,,2026-01-30,1834.17,1841.51,1822.02,1837.49,,,,
2026-02-02,1853.91,1869.30,1820.91,1822.02,,,,
2026-02-03,1843.13,1880.95,1843.13,1878.57,,,,
2026-02-04,1874.94,1885.50,1866.41,1883.69,,,,
2026-02-05,1890.60,1899.39,1875.30,1882.09,,,,
2026-02-06,1874.80,1906.07,1862.15,1906.07,,,,
2026-02-09,1935.00,1971.01,1933.90,1949.66,,,,
2026-02-10,1964.21,1990.92,1963.12,1986.53,,,,
2026-02-12,1986.29,2004.02,1984.40,2000.59,,,,
2026-02-13,1993.11,1995.06,1966.16,1967.83,,,,
2026-02-16,1969.57,1971.90,1950.17,1951.62,,,,
2026-02-17,1948.73,1955.42,1930.60,1938.26,,,,
2026-02-18,1950.63,1966.85,1950.63,1961.77,,,,
2026-02-19,1969.73,1988.19,1965.87,1984.94,,,,
2026-02-20,1966.32,1966.81,1955.53,1962.45,,,,
2026-02-24,1960.78,1970.81,1954.92,1966.47,,,,
2026-02-25,1972.26,1989.93,1962.55,1980.57,,,,
2026-02-26,1998.27,2011.36,1997.36,1999.76,,,,
2026-02-27,1998.26,2029.95,1998.26,2029.95,,,,
2026-03-02,2000.59,2009.06,1970.78,2009.06,,,,
2026-03-03,1989.78,1996.39,1939.79,1944.06,,,,
2026-03-04,1917.43,1918.08,1850.51,1872.90,,,,
2026-03-05,1905.11,1946.81,1898.28,1908.30,,,,
2026-03-06,1888.97,1917.56,1882.32,1915.61,,,,
2026-03-09,1880.64,1880.64,1799.97,1842.67,,,,
2026-03-10,1865.72,1902.60,1865.72,1888.43,,,,
2026-03-11,1910.36,1928.02,1904.16,1906.22,,,,
2026-03-12,1885.98,1889.56,1863.41,1881.08,,,,
2026-03-13,1855.31,1879.85,1851.13,1870.41,,,,
2026-03-16,1865.31,1875.26,1848.18,1860.87,,,,
2026-03-17,1880.00,1891.28,1861.99,1869.21,,,,
2026-03-18,1883.95,1915.75,1883.58,1915.75,,,,
2026-03-19,1885.05,1886.94,1859.87,1859.96,,,,
2026-03-23,1829.76,1829.80,1776.55,1796.61,,,,
2026-03-24,1827.01,1842.38,1816.01,1834.41,,,,
2026-03-25,1862.33,1886.26,1862.33,1881.52,,,,
2026-03-26,1886.21,1892.91,1860.87,1877.19,,,,
2026-03-27,1869.59,1888.12,1854.58,1880.68,,,,
2026-03-30,1829.36,1829.36,1790.33,1825.24,,,,
2026-03-31,1812.36,1842.85,1794.81,1802.27,,,,
2026-04-01,1832.72,1891.64,1830.94,1891.64,,,,
2026-04-02,1904.94,1915.24,1856.20,1861.12,,,,
2026-04-03,1877.01,1887.96,1871.23,1878.54,,,,
2026-04-06,1880.54,1897.65,1877.98,1878.39,,,,
2026-04-07,1884.57,1899.11,1874.45,1883.12,,,,
2026-04-08,1915.06,1948.59,1915.06,1945.71,,,,
2026-04-09,1945.82,1951.46,1926.62,1928.56,,,,
2026-04-10,1934.10,1938.98,1926.30,1927.87,,,,
2026-04-13,1917.03,1933.84,1910.92,1919.12,,,,
2026-04-14,1936.44,1943.20,1931.54,1935.76,,,,
2026-04-15,1950.56,1956.41,1940.00,1943.43,,,,
2026-04-16,1952.64,1971.08,1952.33,1966.24,,,,
2026-04-17,1957.59,1958.15,1938.48,1938.48,,,,
2026-04-20,1951.83,1955.57,1944.87,1946.89,,,,
2026-04-21,1946.08,1953.10,1942.42,1943.43,,,,
2026-04-22,1936.87,1936.87,1923.78,1930.41,,,,
2026-04-23,1925.30,1931.59,1898.37,1915.66,,,,
2026-04-24,1921.35,1923.87,1909.66,1915.91,,,,
2026-04-27,1911.35,1935.01,1902.27,1925.60,,,,
2026-04-28,1934.51,1944.57,1928.53,1944.57,,,,
2026-04-30,1930.12,1931.33,1908.62,1921.45,,,,
2026-05-01,1914.94,1928.61,1903.63,1922.24,,,,
2026-05-07,1938.18,1990.67,1938.18,1980.06,,,,
2026-05-08,1973.65,1975.28,1959.99,1974.38,,,,
2026-05-11,1978.01,1993.99,1973.83,1980.58,,,,
2026-05-12,1988.23,2006.84,1979.46,1997.22,,,,
2026-05-13,1997.62,2024.15,1997.62,2020.66,,,,
2026-05-14,2018.29,2021.01,1999.71,2000.51,,,,
2026-05-15,2007.94,2025.61,1975.57,1992.53,,,,
2026-05-18,1994.33,1995.56,1966.94,1973.25,,,,
2026-05-19,1991.65,1999.92,1977.26,1986.00,,,,
2026-05-20,1986.08,1986.08,1941.82,1955.54,,,,
2026-05-21,1973.37,2000.16,1969.22,1987.69,,,,
2026-05-22,1993.70,2014.20,1989.07,2007.65,,,,
2026-05-25,2013.40,2039.42,2007.88,2033.57,,,,
2026-05-27,2038.57,2048.00,2020.76,2020.87,,,,
2026-05-28,2014.77,2019.39,1993.09,2012.55,,,,
2026-05-29,2019.14,2055.20,2019.14,2041.10,,,,
2026-06-01,2033.67,2048.41,2026.88,2032.74,,,,
2026-06-02,2017.24,2024.07,1998.68,2024.07,,,,
2026-06-03,2035.62,2071.16,2035.62,2061.18,,,,
2026-06-04,2046.82,2048.05,2028.52,2038.42,,,,
2026-06-05,2043.82,2045.69,2027.78,2036.82,,,,
2026-06-08,2016.57,2023.40,1970.41,1986.90,,,,
2026-06-09,2006.28,2011.56,1989.17,2009.56,,,,
2026-06-10,2007.30,2007.30,1974.67,1984.48,,,,
2026-06-11,1965.82,1978.48,1942.40,1975.52,,,,
2026-06-12,1994.43,2023.77,1991.00,2002.23,,,,
2026-06-15,2026.38,2079.71,2026.28,2062.94,,,,
2026-06-16,2054.29,2067.70,2053.26,2058.59,,,,
2026-06-17,2062.21,2081.31,2057.58,2069.97,,,,
2026-06-18,2078.33,2108.52,2078.33,2098.25,,,,
2026-06-19,2097.57,2107.66,2072.76,2086.11,,,,
2026-06-22,2078.48,2116.48,2078.48,2112.05,,,,
2026-06-23,2111.55,2112.62,2058.36,2058.36,,,,
2026-06-24,2057.92,2066.69,2031.92,2044.61,,,,
2026-06-25,2063.08,2079.94,2056.85,2071.65,,,,
2026-06-26,2066.75,2071.55,2027.67,2044.17,,,,
2026-06-29,2050.28,2060.71,2033.24,2053.88,,,,
2026-06-30,2063.25,2073.57,2049.78,2060.57,,,,
2026-07-01,2074.31,2089.23,2062.46,2069.34,,,,
2026-07-02,2078.64,2090.50,2065.34,2071.05,,,,
