Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,4749.32,4752.22,4694.57,4724.64,,,,
2026-01-29,4762.38,4779.64,4719.54,4741.38,,,,2026-01-30,4754.97,4774.31,4698.55,4764.23,,,,
2026-02-02,4810.62,4870.66,4736.23,4746.17,,,,
2026-02-03,4805.42,4973.25,4804.98,4973.25,,,,
2026-02-04,4974.44,5080.72,4944.00,5073.25,,,,
2026-02-05,5073.60,5090.97,4947.04,4983.82,,,,
2026-02-06,4962.94,5059.12,4902.51,5056.68,,,,
2026-02-09,5141.77,5302.04,5139.86,5260.52,,,,
2026-02-10,5293.82,5406.96,5291.58,5388.31,,,,
2026-02-12,5348.26,5419.65,5320.80,5419.65,,,,
2026-02-13,5396.96,5439.96,5347.15,5384.85,,,,
