Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,15149.52,15171.22,14943.43,14963.41,,,,
2026-06-15,15153.18,15531.11,15055.95,15531.11,,,,
2026-06-16,15584.37,15761,15537.5,15675.25,,,,
2026-06-17,15569.92,15885.49,15569.92,15880.95,,,,
2026-06-18,15826.79,16104.77,15825.32,16030.7,,,,
2026-06-22,16095.63,16374.02,15914.05,16372.5,,,,
2026-06-23,16324.24,16355.95,15756.41,15854.2,,,,
2026-06-24,15782.4,16068.41,15730.16,16051.32,,,,
2026-06-25,16099.76,16359.62,16058.85,16344.08,,,,
2026-06-26,16211.41,16215.45,15728.84,15782.22,,,,
2026-06-29,15781.79,15938.23,15487.93,15812.87,,,,
2026-06-30,15811.67,16232.23,15809.65,16205.56,,,,
