Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,2714.03,2714.03,2681.57,2685.83,,,,
2026-01-29,2680.95,2773.14,2656.36,2764.04,,,,2026-01-30,2822.64,2850.78,2769.48,2818.09,,,,
2026-02-02,2839.10,2855.02,2750.54,2757.79,,,,
2026-02-03,2802.03,2867.93,2800.79,2864.44,,,,
2026-02-04,2892.60,2997.57,2887.34,2982.17,,,,
2026-02-05,2994.69,3028.76,2934.55,2952.67,,,,
2026-02-06,2963.06,3022.13,2953.34,3021.85,,,,
2026-02-09,3070.79,3109.32,3041.12,3054.54,,,,
2026-02-10,3088.29,3122.77,3084.72,3121.64,,,,
2026-02-12,3160.42,3197.05,3146.96,3157.81,,,,
2026-02-13,3136.21,3145.93,3016.99,3039.02,,,,
2026-02-16,3031.55,3048.62,2996.21,2996.21,,,,
2026-02-17,3025.52,3062.86,3008.57,3035.45,,,,
2026-02-18,3042.97,3082.61,3005.95,3082.61,,,,
2026-02-19,3104.20,3123.18,3086.83,3116.65,,,,
2026-02-20,3104.14,3137.01,3081.63,3111.40,,,,
2026-02-24,3125.04,3128.94,3056.60,3103.10,,,,
2026-02-25,3068.81,3080.45,3005.15,3068.74,,,,
2026-02-26,3107.98,3116.43,3073.60,3086.12,,,,
