Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,238.04,238.04,235.92,236.72,,,,
2026-01-29,234.22,235.64,233.40,235.33,,,,2026-01-30,237.35,240.42,235.58,240.42,,,,
2026-02-02,244.40,248.21,244.20,245.84,,,,
2026-02-03,245.16,250.74,245.16,249.63,,,,
2026-02-04,250.29,254.91,249.54,254.18,,,,
2026-02-05,259.85,261.20,258.15,260.07,,,,
2026-02-06,260.23,261.84,258.32,261.84,,,,
2026-02-09,263.18,264.44,260.50,263.50,,,,
2026-02-10,261.95,263.46,261.16,261.21,,,,
2026-02-12,257.81,259.49,256.27,259.49,,,,
2026-02-13,261.69,262.30,258.89,262.13,,,,
2026-02-16,263.20,264.82,261.20,262.16,,,,
2026-02-17,263.81,266.18,263.81,264.97,,,,
2026-02-18,266.32,268.32,265.46,267.44,,,,
2026-02-19,266.65,267.31,265.34,265.91,,,,
2026-02-20,260.68,261.02,256.04,258.32,,,,
2026-02-24,261.01,263.71,260.80,262.18,,,,
2026-02-25,262.13,265.85,261.84,264.94,,,,
2026-02-26,266.48,267.68,265.82,267.18,,,,
2026-02-27,270.47,270.63,268.42,269.16,,,,
2026-03-02,263.49,263.49,252.15,254.12,,,,
2026-03-03,248.88,249.92,241.21,242.22,,,,
2026-03-04,237.07,241.31,235.46,238.15,,,,
2026-03-05,242.46,243.73,236.14,236.14,,,,
2026-03-06,232.66,236.91,232.18,235.12,,,,
2026-03-09,230.19,230.19,221.44,227.47,,,,
2026-03-10,230.31,232.39,229.09,230.45,,,,
2026-03-11,232.86,235.00,231.43,231.43,,,,
2026-03-12,230.63,231.27,228.62,230.06,,,,
2026-03-13,227.90,229.24,224.98,224.98,,,,
2026-03-16,225.43,226.79,222.57,224.47,,,,
2026-03-17,225.29,226.77,224.81,224.83,,,,
2026-03-18,227.98,233.87,227.56,233.87,,,,
2026-03-19,229.91,230.11,223.73,223.73,,,,
2026-03-23,221.49,223.61,220.93,221.86,,,,
2026-03-24,225.91,227.48,224.83,226.17,,,,
2026-03-25,229.54,231.36,229.54,230.67,,,,
2026-03-26,230.57,231.07,228.88,230.47,,,,
2026-03-27,231.73,232.25,229.83,230.60,,,,
2026-03-30,222.06,222.09,217.45,221.56,,,,
2026-03-31,220.13,221.81,218.07,218.07,,,,
2026-04-01,222.12,226.60,221.71,226.60,,,,
2026-04-02,228.41,231.90,224.98,226.10,,,,
2026-04-03,225.35,227.21,224.69,226.73,,,,
2026-04-06,226.26,226.87,224.39,224.44,,,,
2026-04-07,224.89,225.78,222.59,223.34,,,,
2026-04-08,226.71,231.73,226.71,230.40,,,,
2026-04-09,226.35,228.54,222.90,222.90,,,,
2026-04-10,223.29,224.20,222.75,223.21,,,,
2026-04-13,220.32,220.80,218.56,219.10,,,,
2026-04-14,221.20,221.36,218.52,219.06,,,,
2026-04-15,220.33,222.81,220.33,221.02,,,,
2026-04-16,220.25,223.33,220.07,220.85,,,,
2026-04-17,219.05,220.18,218.02,218.02,,,,
2026-04-20,220.44,222.53,220.06,222.12,,,,
2026-04-21,221.06,222.07,219.77,219.77,,,,
2026-04-22,218.16,219.36,217.02,217.32,,,,
2026-04-23,214.76,215.53,210.50,210.50,,,,
2026-04-24,211.24,211.33,209.59,209.97,,,,
2026-04-27,208.27,210.38,207.73,207.73,,,,
2026-04-28,206.14,206.89,204.86,206.89,,,,
2026-04-30,205.22,208.64,202.81,205.26,,,,
2026-05-01,208.12,214.04,208.12,212.71,,,,
2026-05-07,216.76,223.03,216.34,222.52,,,,
2026-05-08,224.19,224.19,220.56,222.00,,,,
