Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-11,4.443,4.443,4.443,4.443,,,,
2026-06-12,4.483,4.483,4.483,4.483,,,,
2026-06-15,4.473,4.473,4.473,4.473,,,,
2026-06-16,4.439,4.439,4.439,4.439,,,,
2026-06-17,4.487,4.487,4.487,4.487,,,,
2026-06-18,4.455,4.455,4.455,4.455,,,,
2026-06-19,4.455,4.455,4.455,4.455,,,,
2026-06-22,4.509,4.509,4.509,4.509,,,,
2026-06-23,4.499,4.499,4.499,4.499,,,,
2026-06-24,4.394,4.394,4.394,4.394,,,,
2026-06-25,4.390,4.390,4.390,4.390,,,,
2026-06-26,4.376,4.376,4.376,4.376,,,,
2026-06-29,4.378,4.378,4.378,4.378,,,,
2026-06-30,4.461,4.461,4.461,4.461,,,,
2026-07-01,4.481,4.481,4.481,4.481,,,,
2026-07-02,4.485,4.485,4.485,4.485,,,,
2026-07-03,4.485,4.485,4.485,4.485,,,,
2026-07-06,4.471,4.471,4.471,4.471,,,,
2026-07-07,4.553,4.553,4.553,4.553,,,,
2026-07-08,4.581,4.581,4.581,4.581,,,,
2026-07-09,4.549,4.549,4.549,4.549,,,,
2026-07-10,4.563,4.563,4.563,4.563,,,,
2026-07-13,4.624,4.624,4.624,4.624,,,,
2026-07-14,4.594,4.594,4.594,4.594,,,,
2026-07-15,4.549,4.549,4.549,4.549,,,,
2026-07-16,4.555,4.555,4.555,4.555,,,,
2026-07-17,4.552,4.552,4.552,4.552,,,,
2026-07-20,4.594,4.594,4.594,4.594,,,,
2026-07-21,4.630,4.630,4.630,4.630,,,,
2026-07-22,4.656,4.656,4.656,4.656,,,,
2026-07-23,4.695,4.695,4.695,4.695,,,,
2026-07-24,4.679,4.679,4.679,4.679,,,,
2026-07-27,4.651,4.651,4.651,4.651,,,,
2026-07-28,4.608,4.608,4.608,4.608,,,,
2026-07-29,4.681,4.681,4.681,4.681,,,,
2026-07-30,4.675,4.675,4.675,4.675,,,,
2026-07-31,4.737,4.737,4.737,4.737,,,,
2026-08-03,4.680,4.680,4.680,4.680,,,,
2026-08-04,4.615,4.615,4.615,4.615,,,,
