Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,13009.58,13294.62,12967.09,13104.53,,,,
2026-01-29,13047.11,13152.93,12957.81,13100.67,,,,2026-01-30,13029.40,13528.75,12960.34,13237.91,,,,
2026-02-02,13462.26,13676.72,13114.98,13253.34,,,,
2026-02-03,13393.67,13791.12,13390.57,13710.42,,,,
2026-02-04,13641.44,13757.96,13618.72,13726.55,,,,
2026-02-05,13678.60,13766.00,13472.90,13594.39,,,,
2026-02-06,13487.89,13513.76,13259.04,13469.39,,,,
2026-02-09,13735.53,14113.74,13732.44,13901.02,,,,
2026-02-10,14038.23,14231.37,14030.94,14207.11,,,,
2026-02-12,14260.01,14389.30,14220.23,14311.30,,,,
2026-02-13,14320.41,14320.41,14105.77,14105.77,,,,
2026-02-16,14121.34,14149.06,13662.83,13665.54,,,,
2026-02-17,13655.62,13723.54,13595.57,13679.75,,,,
2026-02-18,13747.03,13785.91,13583.57,13621.57,,,,
2026-02-19,13697.78,13912.86,13668.87,13880.86,,,,
2026-02-20,13806.22,13880.90,13730.61,13769.62,,,,
2026-02-24,13888.37,14273.02,13866.76,14230.29,,,,
2026-02-25,14313.32,14465.75,14285.08,14373.52,,,,
2026-02-26,14528.03,14568.76,14410.29,14462.78,,,,
2026-02-27,14378.12,14395.78,14193.46,14347.99,,,,
2026-03-02,14125.06,14318.93,14014.24,14162.99,,,,
2026-03-03,13991.57,14201.55,13981.15,14029.67,,,,
2026-03-04,13789.60,13856.89,13433.73,13539.67,,,,
2026-03-05,13796.73,14099.45,13796.73,13861.42,,,,
2026-03-06,13754.05,14074.07,13754.05,14065.87,,,,
2026-03-09,13789.04,13789.27,13170.53,13411.34,,,,
2026-03-10,13634.39,13754.20,13555.58,13717.48,,,,
2026-03-11,13861.91,13970.76,13772.32,13788.64,,,,
2026-03-12,13580.87,13732.24,13579.88,13687.68,,,,
2026-03-13,13509.87,13753.28,13509.87,13682.49,,,,
2026-03-16,13598.82,13725.46,13490.74,13668.74,,,,
2026-03-17,13817.38,13892.76,13663.85,13691.91,,,,
2026-03-18,13783.70,14050.80,13783.70,13974.16,,,,
2026-03-19,13727.85,13815.36,13670.80,13702.40,,,,
2026-03-23,13511.98,13575.61,13343.38,13489.55,,,,
2026-03-24,13706.40,13948.80,13696.30,13878.39,,,,
2026-03-25,14070.77,14116.68,13956.79,14048.56,,,,
2026-03-26,13960.91,13999.26,13788.56,13954.50,,,,
2026-03-27,13826.66,13961.99,13668.74,13851.03,,,,
2026-03-30,13494.73,13617.64,13296.10,13611.14,,,,
2026-03-31,13448.20,13725.37,13387.22,13440.04,,,,
2026-04-01,13705.46,14019.89,13674.29,14003.97,,,,
2026-04-02,14079.93,14209.60,13819.38,13856.49,,,,
2026-04-03,14013.83,14117.91,13984.99,14032.43,,,,
2026-04-06,14084.18,14341.51,14084.18,14153.03,,,,
2026-04-07,14242.54,14336.36,14191.59,14202.61,,,,
2026-04-08,14457.15,14723.13,14445.89,14529.42,,,,
2026-04-09,14572.11,14651.34,14496.54,14518.00,,,,
2026-04-10,14566.51,14639.16,14490.96,14601.34,,,,
2026-04-13,14468.70,14559.59,14432.73,14489.32,,,,
2026-04-14,14708.86,14746.25,14597.19,14627.05,,,,
2026-04-15,14776.90,14939.82,14756.33,14872.31,,,,
2026-04-16,14863.30,14877.65,14741.80,14857.82,,,,
2026-04-17,14699.20,14786.55,14534.18,14534.18,,,,
2026-04-20,14722.78,14781.78,14630.94,14706.37,,,,
2026-04-21,14655.90,14697.60,14504.53,14504.53,,,,
2026-04-22,14507.78,14523.42,14284.51,14324.17,,,,
2026-04-23,14245.01,14268.05,14059.89,14141.40,,,,
2026-04-24,14130.08,14221.16,14090.43,14166.23,,,,
2026-04-27,14207.03,14349.76,14161.37,14256.92,,,,
2026-04-28,14315.66,14421.07,14268.93,14421.07,,,,
2026-04-30,14277.67,14352.88,13910.94,14262.72,,,,
2026-05-01,14225.18,14225.18,13907.46,13936.75,,,,
2026-05-07,13919.43,14094.46,13666.25,13941.04,,,,
2026-05-08,13942.29,14070.42,13932.10,13997.05,,,,
2026-05-11,13961.80,14025.69,13882.08,13917.42,,,,
2026-05-12,13924.77,14065.22,13868.23,13868.23,,,,
2026-05-13,13946.83,14241.26,13946.83,14229.84,,,,
2026-05-14,14303.29,14330.54,14036.13,14186.44,,,,
2026-05-15,14217.89,14380.86,14052.84,14205.35,,,,
2026-05-18,14252.02,14493.74,14233.14,14476.49,,,,
2026-05-19,14468.42,14468.42,14207.43,14310.27,,,,
2026-05-20,14349.71,14375.71,14078.10,14220.64,,,,
2026-05-21,14346.42,14435.79,14265.92,14265.92,,,,
2026-05-22,14339.69,14425.47,14267.86,14324.62,,,,
2026-05-25,14246.02,14406.44,14145.41,14339.50,,,,
2026-05-27,14324.75,14759.60,14323.24,14595.06,,,,
2026-05-28,14570.03,14640.43,14461.51,14526.34,,,,
2026-05-29,14639.43,14795.15,14568.43,14568.43,,,,
2026-06-01,14498.08,14664.42,14260.76,14392.56,,,,
2026-06-02,14272.72,14313.32,14161.03,14252.38,,,,
2026-06-03,14337.57,14743.81,14294.65,14720.33,,,,
2026-06-04,14683.12,14714.59,14423.67,14463.27,,,,
2026-06-05,14402.32,14446.06,14312.43,14374.00,,,,
