Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,889.13,898.68,886.27,894.06,,,,
2026-01-29,897.99,911.69,894.00,907.32,,,,2026-01-30,910.71,912.73,900.36,903.90,,,,
2026-02-02,898.85,899.36,857.63,857.63,,,,
2026-02-03,875.14,893.02,875.09,890.32,,,,
2026-02-04,885.29,907.81,880.62,906.84,,,,
2026-02-05,912.32,913.95,891.04,897.82,,,,
2026-02-06,895.71,906.25,886.14,906.25,,,,
2026-02-09,925.63,940.51,924.57,925.98,,,,
2026-02-10,939.24,950.86,937.19,946.32,,,,
2026-02-12,944.93,955.03,942.82,945.37,,,,
2026-02-13,941.08,945.02,931.69,934.47,,,,
2026-02-16,936.81,940.46,923.28,925.60,,,,
2026-02-17,931.08,943.10,920.62,920.62,,,,
2026-02-18,934.57,940.25,924.00,927.98,,,,
2026-02-19,933.00,940.11,923.53,938.65,,,,
2026-02-20,924.24,924.24,901.71,908.58,,,,
2026-02-24,895.96,901.31,885.76,891.94,,,,
2026-02-25,893.29,904.44,889.50,899.32,,,,
2026-02-26,913.25,920.23,909.18,913.32,,,,
2026-02-27,915.60,933.41,914.90,933.41,,,,
2026-03-02,913.88,913.88,873.27,886.49,,,,
2026-03-03,878.98,886.13,847.34,849.95,,,,
2026-03-04,830.48,831.96,792.18,805.24,,,,
2026-03-05,822.50,842.82,822.19,826.75,,,,
2026-03-06,812.86,835.79,811.99,835.79,,,,
2026-03-09,815.92,815.97,775.35,796.73,,,,
2026-03-10,811.10,827.07,806.03,821.23,,,,
2026-03-11,830.82,840.88,827.05,827.83,,,,
2026-03-12,815.31,815.32,798.30,806.16,,,,
2026-03-13,790.63,802.28,790.09,798.84,,,,
2026-03-16,798.80,808.74,795.98,799.31,,,,
2026-03-17,810.53,819.94,808.62,810.86,,,,
2026-03-18,827.48,841.27,826.09,840.22,,,,
2026-03-19,821.67,827.12,818.59,820.61,,,,
2026-03-23,807.17,816.32,803.74,808.04,,,,
2026-03-24,823.82,824.60,811.58,822.41,,,,
2026-03-25,836.65,848.25,835.12,844.45,,,,
2026-03-26,846.29,847.90,831.23,838.74,,,,
2026-03-27,833.47,846.40,832.81,839.43,,,,
2026-03-30,802.26,805.31,789.42,800.96,,,,
2026-03-31,800.78,819.17,793.46,795.57,,,,
