Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-11,4214.8900,4214.8900,4214.8900,4214.8900,,,,
2026-06-12,4218.7700,4218.7700,4218.7700,4218.7700,,,,
2026-06-15,4316.6900,4316.6900,4316.6900,4316.6900,,,,
2026-06-16,4333.1100,4333.1100,4333.1100,4333.1100,,,,
2026-06-17,4273.3823,4273.3823,4273.3823,4273.3823,,,,
2026-06-18,4189.2100,4189.2100,4189.2100,4189.2100,,,,
2026-06-19,4160.0000,4160.0000,4160.0000,4160.0000,,,,
2026-06-22,4190.4863,4190.4863,4190.4863,4190.4863,,,,
2026-06-23,4096.2000,4096.2000,4096.2000,4096.2000,,,,
2026-06-24,3993.2000,3993.2000,3993.2000,3993.2000,,,,
2026-06-25,4025.4600,4025.4600,4025.4600,4025.4600,,,,
2026-06-26,4088.2334,4088.2334,4088.2334,4088.2334,,,,
2026-06-29,4013.7800,4013.7800,4013.7800,4013.7800,,,,
2026-06-30,4016.9400,4016.9400,4016.9400,4016.9400,,,,
2026-07-01,4038.5600,4038.5600,4038.5600,4038.5600,,,,
2026-07-02,4125.9297,4125.9297,4125.9297,4125.9297,,,,
2026-07-03,4174.9000,4174.9000,4174.9000,4174.9000,,,,
2026-07-06,4162.9800,4162.9800,4162.9800,4162.9800,,,,
2026-07-07,4097.8300,4097.8300,4097.8300,4097.8300,,,,
2026-07-08,4075.9282,4075.9282,4075.9282,4075.9282,,,,
