Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,570.76,574.01,567.13,570.92,,,,
2026-01-29,571.93,580.81,568.51,578.39,,,,2026-01-30,579.75,585.31,576.69,584.85,,,,
2026-02-02,592.31,593.80,569.70,569.70,,,,
2026-02-03,580.01,600.08,579.88,599.31,,,,
2026-02-04,599.86,614.55,596.09,614.55,,,,
2026-02-05,616.15,620.24,608.03,612.74,,,,
2026-02-06,604.60,629.49,600.80,629.49,,,,
2026-02-09,641.10,648.44,635.49,640.94,,,,
2026-02-10,647.66,658.36,647.41,656.37,,,,
2026-02-12,653.04,669.27,651.30,666.88,,,,
2026-02-13,656.84,661.20,650.78,650.78,,,,
2026-02-16,643.82,645.22,627.83,628.41,,,,
2026-02-17,624.71,632.71,614.50,614.50,,,,
2026-02-18,624.90,630.88,623.03,626.74,,,,
2026-02-19,632.56,645.77,631.61,645.49,,,,
2026-02-20,635.56,636.58,630.26,633.72,,,,
2026-02-24,623.90,625.66,615.95,618.32,,,,
2026-02-25,612.23,613.30,598.21,602.65,,,,
2026-02-26,613.04,624.35,612.99,622.40,,,,
2026-02-27,620.11,634.75,619.76,634.75,,,,
2026-03-02,622.89,622.90,594.50,606.34,,,,
2026-03-03,600.30,609.79,590.55,591.47,,,,
2026-03-04,580.88,581.26,548.11,557.59,,,,
2026-03-05,568.13,594.34,568.13,583.59,,,,
2026-03-06,574.55,586.59,570.85,586.25,,,,
2026-03-09,575.47,575.47,543.32,560.75,,,,
2026-03-10,569.03,583.74,568.98,578.54,,,,
2026-03-11,583.74,588.32,573.33,573.33,,,,
2026-03-12,568.32,568.32,551.48,559.50,,,,
2026-03-13,550.15,560.21,549.52,559.03,,,,
2026-03-16,552.76,558.03,549.13,553.87,,,,
2026-03-17,561.11,567.50,553.82,558.16,,,,
2026-03-18,566.44,575.49,564.90,574.53,,,,
2026-03-19,563.66,567.29,560.63,562.01,,,,
2026-03-23,551.44,551.44,533.35,541.35,,,,
2026-03-24,551.78,559.69,549.77,558.58,,,,
2026-03-25,569.11,581.15,569.11,577.12,,,,
2026-03-26,579.96,580.90,566.23,572.00,,,,
2026-03-27,568.82,578.02,567.00,575.53,,,,
2026-03-30,556.56,556.58,542.78,553.55,,,,
2026-03-31,545.36,566.30,543.58,548.43,,,,
2026-04-01,558.95,594.76,558.95,593.47,,,,
2026-04-02,601.45,602.80,578.56,581.50,,,,
2026-04-03,588.13,589.61,580.35,583.03,,,,
2026-04-06,584.71,592.44,584.35,586.86,,,,
2026-04-07,589.01,595.70,588.62,591.51,,,,
2026-04-08,602.32,618.51,602.32,613.54,,,,
2026-04-09,614.64,617.30,602.75,603.90,,,,
2026-04-10,608.48,611.62,604.45,604.45,,,,
2026-04-13,603.00,612.79,600.73,605.75,,,,
2026-04-14,611.35,611.35,602.07,605.27,,,,
2026-04-15,613.79,621.77,612.44,616.96,,,,
2026-04-16,621.26,625.02,618.74,619.34,,,,
2026-04-17,614.17,616.41,605.19,608.90,,,,
2026-04-20,613.62,614.13,605.86,605.87,,,,
2026-04-21,603.22,604.17,594.23,594.23,,,,
2026-04-22,593.13,594.24,583.12,586.72,,,,
2026-04-23,582.25,585.83,573.85,578.92,,,,
2026-04-24,580.57,581.08,572.89,577.29,,,,
2026-04-27,572.24,585.86,568.07,583.76,,,,
2026-04-28,588.79,612.43,587.55,611.66,,,,
2026-04-30,604.73,604.73,589.90,597.73,,,,
2026-05-01,593.46,599.45,586.59,596.32,,,,
2026-05-07,606.94,618.85,603.39,614.37,,,,
2026-05-08,603.19,605.02,593.09,600.05,,,,
2026-05-11,602.91,612.45,601.37,611.77,,,,
2026-05-12,617.72,622.63,610.16,620.25,,,,
2026-05-13,618.95,628.15,618.95,627.40,,,,
2026-05-14,623.26,625.28,618.18,618.18,,,,
2026-05-15,623.12,631.43,613.12,621.93,,,,
2026-05-18,627.14,630.97,618.14,621.18,,,,
2026-05-19,631.99,642.76,631.85,642.76,,,,
2026-05-20,653.34,655.24,632.31,637.62,,,,
2026-05-21,648.70,661.95,647.97,652.51,,,,
2026-05-22,656.61,661.69,650.14,653.55,,,,
2026-05-25,649.13,655.42,644.55,650.88,,,,
2026-05-27,643.56,645.65,637.43,640.20,,,,
2026-05-28,634.28,634.28,625.28,629.99,,,,
2026-05-29,630.06,641.79,630.06,633.60,,,,
2026-06-01,628.60,638.34,626.94,632.48,,,,
2026-06-02,628.56,639.80,620.86,639.80,,,,
2026-06-03,647.59,659.92,643.58,657.34,,,,
2026-06-04,652.60,671.17,645.36,662.20,,,,
2026-06-05,673.86,684.27,668.29,669.79,,,,
2026-06-08,660.55,665.99,651.04,659.95,,,,
2026-06-09,671.16,675.81,664.82,670.04,,,,
2026-06-10,676.15,690.36,666.32,668.79,,,,
2026-06-11,658.37,661.21,651.37,659.81,,,,
2026-06-12,668.30,679.15,668.29,672.61,,,,
2026-06-15,685.42,703.71,684.88,686.59,,,,
2026-06-16,678.30,682.60,673.61,680.03,,,,
2026-06-17,692.53,696.25,685.65,685.65,,,,
2026-06-18,696.58,710.23,696.58,708.95,,,,
2026-06-19,702.15,707.63,684.66,686.97,,,,
2026-06-22,682.80,701.45,682.80,700.33,,,,
2026-06-23,699.20,701.34,685.27,685.27,,,,
