Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,6585.09,6644.19,6550.75,6616.83,,,,
2026-01-29,6628.37,6656.80,6569.26,6602.81,,,,2026-01-30,6604.43,6665.04,6536.29,6625.69,,,,
2026-02-02,6623.40,6725.96,6484.49,6490.70,,,,
2026-02-03,6602.23,6772.80,6598.26,6756.31,,,,
2026-02-04,6687.05,6687.05,6564.84,6605.23,,,,
2026-02-05,6534.55,6614.42,6495.04,6544.26,,,,
2026-02-06,6542.27,6704.79,6474.99,6665.40,,,,
2026-02-09,6778.82,7007.71,6772.03,6912.95,,,,
2026-02-10,6988.86,7050.08,6953.80,6984.94,,,,
2026-02-12,7007.82,7032.06,6942.73,6954.46,,,,
2026-02-13,6891.65,6908.50,6777.09,6788.65,,,,
2026-02-16,6788.62,6829.78,6779.12,6788.44,,,,
2026-02-17,6769.54,6777.52,6656.07,6733.09,,,,
2026-02-18,6742.39,6838.88,6742.39,6803.66,,,,
2026-02-19,6866.56,6916.15,6857.08,6858.10,,,,
