Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-01-28,4064.82,4267.92,4064.82,4212.95,,,,
2026-01-29,4242.53,4249.67,4111.30,4211.25,,,,2026-01-30,4164.52,4290.90,4047.28,4119.34,,,,
2026-02-02,4113.46,4227.88,3997.23,4025.60,,,,
2026-02-03,4097.28,4398.28,4097.00,4373.44,,,,
2026-02-04,4437.35,4614.57,4437.35,4570.39,,,,
2026-02-05,4516.41,4558.28,4297.72,4358.61,,,,
2026-02-06,4296.56,4419.57,4245.42,4415.19,,,,
2026-02-09,4504.49,4768.78,4503.69,4679.26,,,,
2026-02-10,4762.44,4981.57,4761.04,4955.54,,,,
2026-02-12,4973.38,5171.67,4960.04,5139.14,,,,
2026-02-13,5071.95,5100.53,4919.82,4945.75,,,,
2026-02-16,5005.32,5045.59,4914.79,4921.12,,,,
