Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2005-02-25,994.01,1000.26,990.2,996.95,0.5314,,,
2005-02-28,1003.65,1011.65,999.1,1011.36,0.53415,,,
2005-03-02,1015.16,1015.51,1003.11,1007.48,0.72128,,,
2005-03-03,1008.22,1015.28,999.86,1010.92,0.6159,,,
2005-03-04,1013.79,1016.18,1007.68,1012.96,0.58726,,,
2005-03-07,1021.63,1025.08,998.89,1007.5,0.59949,,,
2005-03-08,1010.62,1012.4,995.92,1000.28,0.58866,,,
2005-03-09,996.86,1008.79,990.44,1008.79,0.53263,,,
2005-03-10,1007.21,1012.81,998.66,998.66,0.59134,,,
2005-03-11,1006.5,1022.79,1006.5,1022.79,0.69941,,,
2005-03-14,1018.33,1021.3,1015.17,1019.69,0.55042,,,
2005-03-15,1024.08,1024.34,992.46,993.13,0.74133,,,
2005-03-16,990.54,997.57,982.22,993.13,0.66965,,,
2005-03-17,983.52,988.37,972.9,980.05,0.74503,,,
2005-03-18,981.13,988.37,977.29,979.72,0.66484,,,
2005-03-21,979.31,986.88,968.95,979.27,0.53088,,,
2005-03-22,978.09,986.15,972.94,980.41,0.52061,,,
2005-03-23,974.22,980.65,964.08,966.81,0.51968,,,
2005-03-24,970.29,972.85,949.98,956.33,0.54236,,,
2005-03-25,960.65,965.42,956.45,965.3,0.59411,,,
2005-03-28,969.48,981.54,969.48,977.7,0.60795,,,
2005-03-29,977.98,978.47,956.34,958.96,0.5245,,,
2005-03-30,952.4,957.08,946.41,955.45,0.44296,,,
2005-03-31,969.85,970.38,961.54,965.68,0.43528,,,
2005-04-01,963.78,982.49,963.57,981.9,0.48086,,,
2005-04-04,981,984.09,976.28,982.5,0.45876,,,
2005-04-06,985.65,990.34,975.28,988,0.47379,,,
2005-04-07,991.36,993.03,985.87,988.9,0.57133,,,
2005-04-08,995.87,996.9,989.56,992.17,0.4899,,,
2005-04-11,988.21,988.5,981.74,985.94,0.41184,,,
2005-04-12,982.44,985.99,979.73,981.79,0.4775,,,
2005-04-13,985.82,986.82,979.31,981.31,0.43808,,,
2005-04-14,973.4,973.86,953.92,953.92,0.4196,,,
2005-04-15,954.61,955.38,940.04,947.22,0.37826,,,
2005-04-18,930.85,934.37,917.41,925,0.36762,,,
2005-04-19,931.6,936.7,928.77,932.45,0.36081,,,
2005-04-20,940.36,948.73,930.06,937.36,0.41051,,,
2005-04-21,925.17,941.63,916.74,939.14,0.44331,,,
2005-04-22,952.8,952.96,940.78,940.79,0.43826,,,
2005-04-25,936.25,946.87,932.76,946.17,0.38734,,,
2005-04-26,947.31,949.33,944.3,944.46,0.42994,,,
2005-04-27,936.34,936.37,924.44,930.16,0.39822,,,
2005-04-28,931.34,931.96,917.71,917.73,0.36984,,,
2005-04-29,907.63,914.25,902.88,911.3,0.33561,,,
2005-05-02,916.48,918.45,912.43,918.42,0.29891,,,
2005-05-03,920.94,923.53,911.14,913.82,0.37303,,,
2005-05-04,916.29,931.19,916.29,929.35,0.3307,,,
2005-05-06,933.38,942.67,933.24,940.85,0.3147,,,
2005-05-09,942.01,942.32,926.48,935.2,0.36254,,,
2005-05-10,939.18,941.45,933.56,934.28,0.34769,,,
2005-05-11,927.31,928.43,921.01,923.38,0.26861,,,
2005-05-12,923.26,928.87,921.21,921.21,0.30779,,,
2005-05-13,918.77,925.08,910.72,923.19,0.29568,,,
2005-05-16,925.41,935.53,925.05,929.04,0.40554,,,
2005-05-17,938.27,940.8,921.77,927.16,0.28822,,,
2005-05-18,935.18,937,926.97,930.36,0.33335,,,
2005-05-19,941.31,952.74,941.31,952.09,0.36659,,,
2005-05-20,954.66,956.06,948.38,952.19,0.34124,,,
2005-05-23,955.05,955.05,946.8,951.05,0.31572,,,
2005-05-24,954.92,955.71,947.59,951.61,0.32124,,,
2005-05-25,951.37,955.74,939.65,941.3,0.27981,,,
2005-05-26,940.71,943.94,938.88,943.91,0.26452,,,
2005-05-27,953.8,962.9,950.74,960.91,0.30315,,,
2005-05-30,962.25,969.04,959.98,969.04,0.2993,,,
2005-05-31,968.78,972.17,960.39,970.21,0.25237,,,
2005-06-01,964.08,972.56,963.78,969.51,0.25665,,,
2005-06-02,976.97,979.36,970.88,970.88,0.31231,,,
2005-06-03,972.72,976.09,970.01,976.09,0.32297,,,
2005-06-07,975.39,975.39,968.28,970.88,0.31756,,,
2005-06-08,968.44,977.55,968.36,976.22,0.34033,,,
2005-06-09,972.75,987.58,970.97,987.58,0.45383,,,
2005-06-10,987.02,994.9,983.76,990.79,0.51784,,,
2005-06-13,993.14,999.36,989.76,990.49,0.40579,,,
2005-06-14,989.65,994.07,982.59,983.75,0.34584,,,
2005-06-15,984.58,1001.94,981.95,1001.94,0.4027,,,
2005-06-16,1000.71,1006.32,999.53,1003.14,0.47506,,,
2005-06-17,1006.65,1007.2,997.44,1003.68,0.4513,,,
2005-06-20,1003.8,1004.21,991.47,994.65,0.36718,,,
2005-06-21,992.25,997.8,986.61,989.99,0.40825,,,
2005-06-22,988.46,1003.34,986.64,1002.15,0.53474,,,
2005-06-23,1002.24,1010.91,1001.13,1010.8,0.44922,,,
2005-06-24,1001.62,1007.95,995.55,1002.43,0.40614,,,
2005-06-27,996.73,997.71,985.93,991.11,0.40182,,,
2005-06-28,989.54,995.45,987.78,994.74,0.43065,,,
2005-06-29,1000.27,1006.19,994.29,999.08,0.40826,,,
2005-06-30,997.59,1009.96,997.59,1008.16,0.50709,,,
2005-07-01,1003.56,1018.04,1002.38,1018.02,0.49473,,,
2005-07-04,1022.67,1024.05,1018.54,1021.71,0.55272,,,
2005-07-05,1023.32,1025.25,1017.27,1018.81,0.56871,,,
2005-07-06,1023.77,1025.24,1015.94,1019.01,0.68797,,,
2005-07-07,1015.76,1029.2,1014.86,1026.82,0.67741,,,
2005-07-08,1027.09,1029.37,1020.45,1021.95,0.61416,,,
2005-07-11,1034.59,1043.18,1033.28,1040.43,0.77052,,,
2005-07-12,1048.44,1051.28,1042.67,1043.88,0.78136,,,
2005-07-13,1047.53,1050.78,1042.19,1050.16,0.74462,,,
2005-07-14,1056,1064.92,1052.52,1061.93,0.59904,,,
2005-07-15,1065.09,1066.97,1057.49,1059.6,0.56777,,,
2005-07-18,1061.71,1068.51,1057.03,1062.43,0.50056,,,
2005-07-19,1062.32,1075.51,1062.15,1075.48,0.54771,,,
2005-07-20,1077.29,1086.95,1068.65,1074.4,0.96784,,,
2005-07-21,1083.55,1086,1068.49,1074.65,0.70178,,,
2005-07-22,1067.5,1076.7,1063.12,1074.22,0.6849,,,
2005-07-25,1075.5,1089.96,1073.66,1089.7,0.63755,,,
2005-07-26,1089.96,1094.82,1085.87,1090.6,0.69501,,,
2005-07-27,1092.91,1098.67,1084.12,1093.03,0.63053,,,
2005-07-28,1101.84,1106.44,1097.38,1104.72,0.65133,,,
2005-07-29,1113.43,1113.43,1101.37,1111.29,0.546,,,
2005-08-01,1113.9,1116.75,1107.78,1115.98,0.50112,,,
2005-08-02,1117.21,1118.85,1110.31,1118.83,0.56587,,,
2005-08-03,1126.92,1129.92,1116.95,1117.11,0.65649,,,
2005-08-04,1119.76,1122.46,1105.1,1111.39,0.67908,,,
2005-08-05,1098.56,1101.15,1084.23,1089.36,0.55685,,,
2005-08-08,1081.69,1088.52,1079.63,1086.64,0.39022,,,
2005-08-09,1082.76,1099.79,1079.53,1099.77,0.46213,,,
2005-08-10,1103.61,1114.4,1100.2,1104.86,0.44855,,,
2005-08-11,1104.69,1123.77,1104.35,1123.77,0.43888,,,
2005-08-12,1127.39,1131.97,1120.39,1130.22,0.40933,,,
2005-08-16,1131.72,1137.46,1115.85,1116.93,0.40779,,,
2005-08-17,1107.27,1114.42,1100.68,1113.25,0.45267,,,
2005-08-18,1115.49,1115.82,1092.37,1092.71,0.4394,,,
2005-08-19,1088.15,1092.58,1078.53,1089.88,0.39808,,,
2005-08-22,1095.24,1116.68,1091.76,1116.68,0.38345,,,
2005-08-23,1118.17,1121.89,1108.59,1115.84,0.36701,,,
2005-08-24,1111.9,1111.91,1088.74,1094.21,0.33974,,,
2005-08-25,1085.54,1104.25,1079.14,1097.29,0.33786,,,
2005-08-26,1097.55,1103.74,1086.53,1086.55,0.38556,,,
2005-08-29,1068.14,1073.37,1059.21,1063.16,0.36943,,,
2005-08-30,1074.63,1078.42,1055.54,1072.61,0.33164,,,
2005-08-31,1068.89,1085.14,1067.3,1083.33,0.34465,,,
2005-09-01,1093.47,1106.37,1092.14,1106.37,0.40178,,,
2005-09-02,1110.11,1118.87,1108.95,1115.83,0.36213,,,
2005-09-05,1120.32,1121.84,1111.95,1114.5,0.33724,,,
