"","","","","","","","","",""
"更新日時","取得元","コード","銘柄","価格","","時価総額（兆ドル）","前日時価総額","騰落率",""
"2026/09/11 16:00:01","google","NASDAQ:AAPL","アップル","332.27","","4.849","4.764","1.75",""
"2026/09/11 16:00:01","google","NASDAQ:MSFT","マイクロソフト","495.63","","3.680","3.656","0.65",""
"2026/09/11 16:00:01","google","NASDAQ:GOOG","グーグル","335.45","","4.127","4.064","1.53",""
"2026/09/11 16:00:01","google","NASDAQ:AMZN","アマゾン","256.78","","2.770","2.716","1.94",""
"2026/09/11 16:00:01","google","NASDAQ:NVDA","エヌビディア","218.29","","5.261","5.262","-0.03",""
"2026/09/11 16:00:01","google","NASDAQ:META","メタ","648.03","","1.651","1.641","0.57",""
"2026/09/11 16:00:01","google","NASDAQ:TSLA","テスラ","365.44","","1.145","1.139","0.52",""
"","","","","","時価総額","23.4834","23.244","",""
"2026/09/11 16:00:01","google","BATS:ARKK","アーク","83.58","#N/A","","","",""
"2026/09/11 16:00:01","google","INDEXDJX:.DJI","NYダウ","52573.29","52204.46","52720.24","52204.46","0.98",""
"2026/09/11 16:00:01","google","INDEXSP:.INX","S&P500","7656.98","7636.75","7677.02","7636.75","0.86",""
"2026/09/11 16:00:01","google","INDEXNASDAQ:.IXIC","ナスダック","26333.04","26289.41","26431.22","26283.11","0.96",""
"2026/09/11 16:00:01","google","INDEXRUSSELL:RUT","ラッセル2000","2903.94","2909.05","2926.69","2902.9","0.45",""
"2026/09/11 16:00:01","google","INDEXNASDAQ:SOX","SOX指数","11824","11753.87","11910.2","11711.33","1.81",""
"2026/09/11 16:00:01","google","IX0001","台湾加権","46184.85","","","","",""
"","","","","","","","","",""
"","ブルームバーグ","","ドル円","ImportXML(""https://www.bloomberg.co.jp/quote/USDJPY:CUR"",""//div[@class='price']"")","","","","",""
"","google","INDEXTOPIX:TOPIX","","","","","","",""
"","google","INDEXSP:SP500-60","SP不動産","","","","","",""
"","","","","","","","","",""
"GOOGLEFINANCE(C15, ""price"", DATE(2024,1,1), DATE(2024,4,17), ""DAILY"")","","","","","","","","",""
"","","","","","","","","",""
"ブルームバーグ","https://www.bloomberg.co.jp/quote/SZ399006:IND","創業板","ImportXML(""https://www.bloomberg.co.jp/quote/BDIY:IND"",""//div[@class='price']"")","","","","","",""
"ブルームバーグ","TWSE:IND","台湾加権","ImportXML(""https://www.bloomberg.co.jp/quote/BDIY:IND"",""//div[@class='price']"")","","","","","",""
"ブルームバーグ","TWSE:IND","韓国総合","ImportXML(""https://www.bloomberg.co.jp/quote/BDIY:IND"",""//div[@class='price']"")","","","","","",""
"","","/html/body/div[3]/div[3]/section/div[1]/div/div/div[2]/div[2]/table/tbody","","","","","","",""
"コード","銘柄","始値","高値","安値","終値","出来高","取引日","コード"
"NASDAQ:AAPL","アップル","327.45","336.22","326.3","332.27","50692764","2026/09/11","101"
"NASDAQ:MSFT","マイクロソフト","495.65","498.97","492.58","495.63","14515143","2026/09/11","102"
"NASDAQ:GOOG","グーグル","332.73","339.95","332.55","335.45","15804331","2026/09/11","103"
"NASDAQ:AMZN","アマゾン","254.09","257.59","253.14","256.78","26708512","2026/09/11","104"
"NASDAQ:NVDA","エヌビディア","221.24","222","218.15","218.29","88968938","2026/09/11","105"
"NASDAQ:META","メタ","653.51","664.24","646.2","648.03","16918607","2026/09/11","106"
"NASDAQ:TSLA","テスラ","364.2","368.66","361.6","365.44","30121961","2026/09/11","107"
"BATS:ARKK","アーク","83.75","84.79","83.51","83.58","599643","2026/09/11","108"
"NASDAQ:MU","マイクロン","993.2","993.99","967.38","975.26","21724400","2026/09/11","109"
"NASDAQ:AMD","AMD","510.71","521.06","501.35","516.13","19018317","2026/09/11","110"
"NASDAQ:INTC","インテル","102.47","104.9","101.07","102.94","86938488","2026/09/11","111"
"NASDAQ:ARM","アーム","257.7","267.77","253.06","264.79","4268919","2026/09/11","112"
"NASDAQ:AVGO","ブロードコム","364.85","366.78","361.64","361.99","21159990","2026/09/11","113"
"NASDAQ:QCOM","クアルコム","178.25","185.46","175.74","181.97","11552731","2026/09/11","114"
"AMS:ASML","ASML(蘭)","1463","1497.2","1463","1478.4","418199","2026/09/11","115"
"TPE:2330","TSMC(台)","2430","2430","2405","2410","20979357","2026/09/11","116"
"KRX:005930","サムスン(韓)","258000","261500","256500","259500","13939111","2026/09/11","117"
"HKG:0700","テンセント(中)","419.4","430.8","419.4","428.4","15628379","2026/09/11","118"
"BCBA:BABA","アリババ(中)","19360","19640","19340","19450","13761","2026/09/11","119"
"NASDAQ:PLTR","パランディア","168.1","168.61","165.4","167.23","15400923","2026/09/11","120"
"ETR:SAP","SAP(独)","175.68","178.84","172.16","177.26","2845545","2026/09/11","121"
"ETR:VOW3","VW(独)","82.18","82.48","80.04","81.18","717435","2026/09/11","122"
"ETR:BAS","BASF(独)","53.4","53.45","51.21","51.83","2105674","2026/09/11","123"
"NYSE:BRK.B","バークシャーH","508.85","510.63","506","510.37","3587691","2026/09/11","124"
"NYSE:JPM","JPモルガン","358.32","360.05","354.79","356.23","5355155","2026/09/11","125"
"NYSE:GS","GS","1035.05","1042.99","1018.59","1029.18","1163126","2026/09/11","126"
"LON:HSBA","HSBC(英)","1534","1560.2","1533","1539.63","9107768","2026/09/11","127"
"EPA:BNP","BNPパリバ(仏)","103.4","103.92","102.68","103.76","1353242","2026/09/11","128"
"EPA:MC","LVMH(仏)","408","420.05","407.6","415.3","732113","2026/09/11","129"
"NASDAQ:WMT","ウォルマート","106.2","107.21","105.72","107.15","17062577","2026/09/11","130"
"NYSE:MCD","マクドナルド","253.98","254.73","252.15","252.53","4099227","2026/09/11","131"
"NYSE:ORCL","オラクル","164.43","166","149.84","150.28","80214313","2026/09/11","132"
"KRX:000660","SKハイニクス(韓)","1773000","1827000","1768000","1812000","2625165","2026/09/11","133"
"HKG:1810","Xiaomi(中)","25.66","26.66","25.44","26.36","113533443","2026/09/11","134"
"SHE:002594","BYD(中)","83.17","84.48","82.66","84","27309635","2026/09/11","135"
"HKG:0981","SMIC(中)","62.6","63.5","61.5","63.15","42953970","2026/09/11","136"
"SHE:002371","NAURA(中)","628.08","636.83","613.84","634","6620630","2026/09/11","137"
